 	io	la	casa	la	posso	pulire	ogni	sabato	e	mia	mamma	la	puliva	ogni	giorno	perché	lo	poteva	aveva	la	possibilità	di	pagarlo	ogni	giorno	</S>
e	0.99688774	0.0029287797	0.00017397589	3.6412193e-06	4.8649817e-06	4.4475405e-07	3.2250387e-07	1.0015574e-07	1.923025e-08	1.5021046e-08	8.8524414e-09	4.076916e-09	1.4455301e-08	3.590476e-09	1.4863782e-08	4.8607403e-09	6.3720655e-09	4.4129758e-09	1.9739973e-08	3.0770186e-09	5.165527e-08	3.3696732e-09	1.0136026e-08	3.151352e-09	5.346366e-09	4.685993e-08
v	0.88868755	0.07272391	0.036368143	0.0002483405	0.0019200254	3.119384e-05	1.3043794e-05	3.7942307e-06	4.5198396e-07	4.1242794e-07	5.5283255e-07	1.4148388e-07	2.324711e-07	1.08265105e-07	5.656307e-07	1.07515234e-07	1.2305752e-07	9.8970055e-08	1.9400288e-07	8.7052385e-08	2.3793271e-07	8.4227416e-08	1.3747841e-07	9.024295e-08	1.3460813e-07	4.2990797e-07
ò	0.36105645	0.13030389	0.10455604	0.007220161	0.39387733	0.0019420296	0.0007444194	0.00015059326	2.6785608e-05	2.2012615e-05	1.8479363e-05	3.018135e-06	3.7389532e-06	1.0898297e-06	5.0125112e-05	8.0186146e-07	1.1839538e-06	5.274225e-07	3.11575e-06	4.283472e-07	2.088152e-06	4.6597546e-07	1.2457218e-06	8.045961e-07	4.4168e-06	8.828694e-06
o	0.095925674	0.7328114	0.1421484	0.019493999	0.0060612294	0.0007598563	0.0009648994	2.6715737e-05	0.00018082281	0.0002830856	8.098581e-05	0.000106146064	5.5227578e-05	7.146318e-05	0.00041458468	1.236302e-05	0.00012614646	1.4997351e-05	7.530071e-05	3.0508612e-05	8.449251e-05	1.7647013e-05	1.05545105e-05	6.2755316e-05	0.0001493614	3.1288626e-05
s	0.03313885	0.17520265	0.4188518	0.09298637	0.27739537	0.0011824188	0.0010747272	3.4325112e-05	1.014066e-05	1.8264907e-05	4.0717223e-06	2.4742212e-06	2.590374e-06	1.4024124e-06	6.8811045e-05	5.7209525e-07	3.0438086e-06	6.1310345e-07	3.1724458e-06	5.874404e-07	2.9294893e-06	4.9219915e-07	1.070264e-06	1.710184e-06	7.1157037e-06	4.518007e-06
p	0.0011874905	0.24201645	0.5649711	0.18954162	0.0019746732	0.0002834746	1.318041e-05	7.1041095e-06	1.4341057e-06	3.0796136e-07	6.320969e-09	4.3943306e-08	5.4759596e-07	3.450479e-08	2.8219251e-08	1.0203717e-07	1.2220406e-07	9.054055e-08	1.1513541e-06	1.00301145e-08	2.945189e-07	1.4427203e-08	7.4749124e-07	6.7777246e-09	2.9298903e-09	6.5628964e-09
ì	0.0015065654	0.22083096	0.63641816	0.09874104	0.041583605	0.00060302136	0.00014616405	5.228247e-05	1.9775382e-05	7.3481215e-06	3.2081334e-06	1.6362619e-06	4.596412e-06	1.2645788e-06	1.1912889e-05	1.8029668e-06	3.1136613e-06	1.6265475e-06	1.8096309e-05	7.8205466e-07	2.5110416e-05	1.1061423e-06	6.2934405e-06	1.5196381e-06	5.196669e-06	3.7979341e-06
t	0.020220239	0.36407608	0.5758738	0.03760096	0.0021605166	5.7789006e-05	8.8053575e-06	1.7516535e-07	2.1985393e-07	2.978348e-07	3.626426e-08	5.088374e-08	3.786815e-08	2.9061114e-08	3.6868957e-07	5.4550706e-09	6.501207e-08	6.705604e-09	6.222657e-08	9.204787e-09	4.5800196e-08	7.657762e-09	1.0901285e-08	2.844949e-08	1.4153905e-07	2.2900491e-07
i	0.001480632	0.15235238	0.1552401	0.6859516	0.0038118982	0.0010468059	3.4467805e-05	1.9762525e-05	1.351738e-05	4.320389e-06	4.478121e-08	1.0255122e-06	8.631797e-06	7.283589e-07	1.2089943e-06	2.0102311e-06	2.2661163e-06	1.3597963e-06	1.14622635e-05	2.5026335e-07	4.5176107e-06	2.2181305e-07	1.010177e-05	1.3948235e-07	2.611379e-07	2.60829e-07
o	0.03889663	0.060942713	0.08091366	0.61609364	0.1686661	0.028099004	0.0057244785	0.00016942114	0.00012672995	0.000102711296	2.2235809e-05	1.3329065e-05	1.801092e-05	7.2813245e-06	7.646421e-05	1.7194033e-06	1.6664162e-05	2.0199484e-06	3.3421886e-05	2.420422e-06	3.6006983e-05	1.983567e-06	3.850526e-06	4.885444e-06	8.8308025e-06	1.5790543e-05
s	0.0011897748	0.0029271347	0.0127202	0.5677076	0.40233603	0.012253266	0.0008255446	2.4756122e-05	4.4351727e-06	3.5425794e-06	4.5003551e-07	2.585912e-07	4.7654865e-07	9.5940614e-08	4.0764576e-06	5.1989975e-08	2.2706014e-07	3.4756667e-08	4.173512e-07	3.2205172e-08	4.4414475e-07	3.0005815e-08	1.4091428e-07	7.623142e-08	3.6068275e-07	5.174851e-07
ò	1.7294724e-05	0.0008032638	0.11435424	0.26636273	0.47141376	0.14594668	0.0009542828	9.22926e-05	3.2728105e-05	9.178058e-06	8.097765e-07	9.4523335e-07	3.7264501e-06	4.531963e-07	8.419131e-07	5.057472e-07	6.0269025e-07	4.1110258e-07	3.5102737e-06	9.34996e-08	5.00104e-07	9.7753215e-08	1.0772247e-06	6.2549105e-08	2.528172e-08	1.2088358e-08
z	0.00016756736	0.00022168539	0.013515696	0.05244059	0.85816336	0.07486119	0.0006255742	2.3986393e-06	9.73797e-07	4.4005847e-07	1.9389819e-07	3.558168e-08	2.5699208e-08	1.4768317e-08	1.8204993e-07	2.6007136e-09	2.4943994e-08	3.4146312e-09	5.764428e-08	3.6549614e-09	2.4067873e-08	3.7499883e-09	5.8456826e-09	1.0007563e-08	1.5516521e-08	1.2965974e-08
o	6.86503e-05	0.005500631	0.028188959	0.58885145	0.20564885	0.16975719	0.0017448305	0.00018641377	2.288388e-05	8.245687e-06	3.9785735e-07	1.2206358e-06	5.8276723e-06	7.144889e-07	1.7321918e-06	1.2265251e-06	1.2827692e-06	8.5854117e-07	3.3072279e-06	2.474002e-07	2.2099823e-06	1.9297983e-07	2.3122745e-06	6.522707e-08	7.996171e-08	9.8568016e-08
p	0.011041276	0.007953864	0.009774121	0.08205953	0.07005313	0.72197396	0.093101755	0.0015003202	0.001295212	0.00061987026	5.965832e-05	3.6480087e-05	8.8894114e-05	1.2283056e-05	0.00011455255	4.4544145e-06	3.231559e-05	4.534527e-06	0.00017644464	1.5447386e-06	6.9118265e-05	1.417483e-06	1.5855578e-05	1.878709e-06	2.4448225e-06	5.1594657e-06
u	1.4677961e-05	0.00021577996	0.0009963168	0.018871384	0.070054606	0.8883608	0.017904935	0.0028007948	0.00048398905	0.00017211141	1.3595962e-05	1.0851406e-05	4.4436783e-05	2.7640556e-06	2.737412e-05	2.770709e-06	2.689641e-06	1.3144729e-06	1.2864114e-05	4.3799238e-07	1.1214338e-06	2.3792961e-07	3.3107135e-06	1.7200466e-07	6.5964934e-07	9.395014e-08
l	2.2771952e-05	3.4593315e-05	0.00017616843	0.007020416	0.109839834	0.83039534	0.052243948	0.0001595234	9.127086e-05	1.37597735e-05	1.2584907e-06	2.2869999e-07	2.3943494e-07	2.0703599e-08	5.6638567e-07	4.6452473e-09	1.7509393e-08	2.0423745e-09	8.956669e-08	1.2072267e-09	7.413095e-09	9.493033e-10	7.0879946e-09	1.6969608e-09	1.0352012e-08	1.239645e-08
i	1.5369802e-05	0.00010040691	0.00058978715	0.005293621	0.040044624	0.8984664	0.049480777	0.003927917	0.0012771834	0.00043016626	4.775151e-05	2.9203835e-05	0.00010594155	9.8949695e-06	7.9776924e-05	7.663103e-06	1.0307968e-05	4.819793e-06	5.186557e-05	1.7104321e-06	4.1442563e-06	9.66964e-07	1.1749794e-05	1.5522935e-06	5.838272e-06	6.326342e-07
