 	le	canzone	si	scrivono	alla	notte	</S>
a	0.998422	0.0015610292	1.2691791e-05	8.287777e-07	2.492168e-07	2.88687e-06	2.219296e-07
t	0.3208135	0.6732528	0.0056037875	0.00011481985	1.6947852e-05	0.00019479614	3.3598008e-06
r	0.11626411	0.83705133	0.04290976	0.0036084207	0.00012488356	3.73761e-05	4.0766167e-06
a	0.18536758	0.790228	0.02386127	0.00053188636	8.223001e-06	2.701632e-06	2.99955e-07
ù	0.03252218	0.95526904	0.01217623	3.117076e-05	5.8929237e-07	8.33209e-07	4.0911626e-08
d	0.004625168	0.05921273	0.85974854	0.07391738	0.0016905089	0.0007982985	7.483253e-06
i	0.002170276	0.15845835	0.80449617	0.034535922	0.0002462061	9.274425e-05	4.196336e-07
a	0.043108966	0.09746511	0.833523	0.023099447	0.001571447	0.0011935162	3.848843e-05
g	0.00492206	0.020222567	0.7613591	0.20178057	0.01059981	0.0011108695	5.0766002e-06
r	0.00019043699	0.014188591	0.31454653	0.5929861	0.07536341	0.0026870253	3.792202e-05
à	0.00012997737	0.13503946	0.18295352	0.5997459	0.08124337	0.00078362913	0.00010403248
f	0.0014150259	0.01254656	0.6601684	0.28244734	0.041486435	0.0018632201	7.292193e-05
u	0.00019179014	0.003665787	0.37024635	0.5138686	0.10507895	0.0069168154	3.1781547e-05
t	0.050366763	0.035454016	0.08180453	0.25469655	0.55900234	0.017938659	0.00073706266
t	3.4883666e-05	0.0016999792	0.035331897	0.4896349	0.41234535	0.060482223	0.00047074456
e	1.971999e-05	0.006024116	0.01888808	0.52123594	0.4206129	0.03185925	0.0013599516
t	0.0018641049	0.0026378136	0.0077545517	0.06492271	0.868602	0.046533324	0.00768553
s	3.0450912e-05	0.00080466387	0.01998299	0.28045318	0.4785551	0.1922718	0.027901802
e	9.53792e-06	0.00083668367	0.008846606	0.20030767	0.38470387	0.37465036	0.030645318
n	0.00050608726	0.000601855	0.0016810155	0.015250351	0.39907882	0.34731278	0.23556915
ì	4.283124e-05	0.0005631111	0.008726727	0.12624939	0.33546892	0.44177544	0.08717354
t	0.0011839853	0.000513956	0.0013112549	0.0028229328	0.11019299	0.59548324	0.28849164
t	7.1853516e-05	0.0005538585	0.00093142584	0.036661115	0.40972152	0.5456583	0.006401911
a	0.00046808115	0.0067808037	0.00023079755	0.0014961223	0.040871374	0.9270824	0.023070335
</S>	0.00039687983	0.0076325475	6.163216e-05	7.486124e-05	0.00067482307	0.05628661	0.9348727
