 	noi	ti	amiamo	a	te	di	pocchi	giorni	e	non	ti	possiamo	dimenticare	mai	di	questo	che	trocammo	bene	a	te	</S>
e	0.9979674	0.0019123767	0.00010743796	5.0084727e-06	4.1191815e-06	1.02564414e-07	2.7488015e-06	3.164664e-07	1.4896153e-08	4.0803684e-08	5.108622e-09	2.65021e-07	4.7808797e-09	7.110553e-09	2.5367584e-09	6.526081e-09	1.9004625e-09	1.4999038e-09	5.1797194e-08	1.7839985e-09	7.0505775e-09	4.0438223e-08
m	0.80421937	0.16094184	0.033061452	0.000583285	0.00095481955	1.5366031e-05	0.00017969398	2.0977732e-05	9.48857e-07	5.6443737e-06	2.89305e-07	1.28839865e-05	6.597497e-07	4.2697508e-07	1.8793901e-07	2.7814522e-07	1.5507224e-07	1.3467206e-07	5.1925537e-07	1.4295082e-07	3.31174e-07	6.4017865e-07
ì	0.4655882	0.34091955	0.17593457	0.007005492	0.0017821575	0.00094868185	0.0042593833	0.00034446645	3.821735e-05	3.333017e-05	1.2356074e-05	0.003102252	6.27384e-06	4.617013e-06	1.0953407e-06	3.648236e-06	5.0607264e-07	3.809973e-07	9.972263e-06	3.4931884e-07	2.395325e-06	2.0028738e-06
s	0.1164311	0.76587343	0.11374479	0.0028473972	0.0010431265	3.7544085e-06	2.3548515e-05	1.1816097e-05	6.7382007e-07	3.653864e-06	1.0815299e-07	1.2440773e-05	1.0360684e-06	3.9449125e-07	1.70193e-07	3.7712255e-07	5.616969e-08	5.660678e-08	1.553993e-06	7.857245e-08	1.3510191e-07	4.298008e-07
e	0.0043114573	0.29360005	0.6936664	0.0077727074	0.0006027962	4.104457e-06	1.8622011e-05	8.7306296e-07	2.2295856e-07	9.511396e-09	1.7666497e-07	2.0790885e-05	2.5418678e-09	2.8729737e-08	2.0563768e-08	1.9275997e-07	5.5914295e-09	2.4861369e-09	1.5270025e-06	5.7108203e-09	3.1259484e-09	2.9730273e-08
g	0.023129273	0.45673153	0.39782882	0.084315956	0.029431952	0.00041914496	0.00579078	0.000999384	3.1276035e-05	0.00018915825	4.0571063e-06	0.000992977	2.2065922e-05	1.3087748e-05	4.5536253e-06	1.2300525e-05	1.2655432e-06	1.4152976e-06	6.488585e-05	1.9442239e-06	3.2413636e-06	1.0971647e-05
a	0.0007744591	0.22442763	0.7378304	0.036519386	0.00042850044	3.1485727e-06	1.3948349e-05	2.8444455e-07	3.6469295e-08	9.726675e-10	1.3805508e-08	2.0631169e-06	1.0078992e-10	3.130033e-09	1.6647054e-09	1.9594916e-08	3.7097445e-10	1.8138085e-10	8.785961e-08	2.5024804e-10	3.9587683e-10	5.9546496e-10
p	0.0054106507	0.20012668	0.5688003	0.21268512	0.01178428	8.2939456e-05	0.0008440455	0.00010552882	1.5454677e-06	1.1667788e-05	1.8704593e-07	0.00014110601	1.2885545e-06	4.5583016e-07	1.5862699e-07	4.0209918e-07	4.5262997e-08	5.3507076e-08	2.4507774e-06	6.365307e-08	1.1691245e-07	9.548147e-07
ù	0.00022724443	0.062378056	0.74085134	0.19024551	0.004347841	0.0011416732	0.00057520514	7.481073e-05	3.1326716e-05	1.585546e-06	1.4169617e-05	9.3900366e-05	4.6915247e-07	5.7301063e-06	2.0309944e-06	5.7990223e-06	6.054291e-07	2.1469965e-07	1.3114361e-06	3.348919e-07	7.2397864e-07	2.0764938e-07
m	0.002935404	0.02549048	0.7041097	0.061063748	0.20582774	0.00029516304	0.00026899914	3.7415475e-06	1.1547342e-07	2.795399e-07	1.6427528e-08	4.387251e-06	1.5381133e-08	1.5195587e-08	6.404538e-09	1.5024199e-08	2.2454698e-09	2.5413127e-09	1.7599508e-08	2.9392269e-09	6.8024106e-09	3.93334e-08
e	0.0005685537	0.027656915	0.56800854	0.0633468	0.33960646	0.00037665502	0.00032578703	7.116145e-05	3.4576415e-06	1.0482653e-06	1.6004287e-06	2.3622766e-05	1.0729579e-07	6.320423e-07	2.687453e-07	9.024753e-07	5.874975e-08	3.314278e-08	6.91809e-06	3.28438e-08	3.280999e-08	4.130844e-07
s	0.0099233175	0.029148474	0.0484239	0.29249913	0.55529827	0.020111986	0.03783219	0.0025598186	6.720685e-05	0.0001961054	4.415141e-06	0.0038772866	1.0344751e-05	7.943125e-06	1.7824141e-06	7.355162e-06	3.957818e-07	3.7359325e-07	2.4896412e-05	5.3456716e-07	1.5564175e-06	2.752623e-06
e	1.7262815e-05	0.0069116885	0.37171727	0.38961318	0.2121369	0.013882463	0.005548917	0.00012087363	6.712605e-06	4.202654e-07	1.1555608e-06	3.6451816e-05	1.2372222e-08	4.9288036e-07	2.3193705e-07	1.7344111e-06	4.050186e-08	1.0490881e-08	4.093765e-06	3.0651638e-08	2.0728944e-08	6.834806e-09
s	0.001641761	0.0056646373	0.008450912	0.12941109	0.69645935	0.13301589	0.021289842	0.0023777578	4.8034268e-05	0.0005226926	2.0811317e-06	0.001086559	1.4251349e-05	3.4389602e-06	4.98585e-07	1.7120393e-06	1.0233808e-07	9.4471396e-08	7.5235102e-06	1.1689448e-07	7.423215e-07	8.7898746e-07
è	2.3899976e-05	0.007687972	0.17432153	0.32449427	0.24560942	0.19990559	0.045660958	0.0017080569	0.00010291282	4.0408344e-05	1.043811e-05	0.0004196571	1.0006446e-06	4.675955e-06	9.624198e-07	4.9764985e-06	2.4762448e-07	7.047612e-08	1.7965748e-06	1.9439031e-07	8.7170304e-07	9.138389e-08
n	0.00035254552	0.0012753293	0.0015148768	0.036917277	0.4933218	0.35154375	0.11114459	0.0031388258	2.8076773e-05	0.00033341246	6.036366e-07	0.000426102	1.5584013e-06	3.7291218e-07	6.087578e-08	2.4040082e-07	1.0446011e-08	9.46276e-09	4.6797362e-07	1.2960757e-08	4.918685e-08	3.614663e-08
a	3.9440514e-05	0.004844826	0.02284124	0.0563967	0.7745068	0.12234148	0.017924158	0.00093946146	7.167854e-05	1.5387686e-05	2.2566832e-05	2.5052828e-05	5.9386826e-07	3.606828e-06	1.9997137e-06	4.317907e-06	6.269114e-07	2.4892333e-07	1.8870584e-05	2.5458007e-07	2.0422712e-07	4.356168e-07
t	0.0034171974	0.00363196	0.0004945048	0.0139684705	0.1500689	0.4260405	0.32310826	0.05946232	0.0026684767	0.0011423168	0.000105741085	0.015508822	2.3643759e-05	6.399945e-05	9.676903e-06	8.5091844e-05	9.0312307e-07	4.807001e-07	0.00019358957	8.6855476e-07	2.8239251e-06	1.4235654e-06
s	1.6735272e-06	6.586183e-05	0.00020576965	0.0036299482	0.01733369	0.61582667	0.32271487	0.035717107	0.003694655	0.00034373152	0.00016776485	0.00027804283	1.8380468e-06	9.0802205e-06	1.3833718e-06	6.236116e-06	1.7904115e-07	3.0561907e-08	1.1489727e-06	7.939518e-08	2.2033929e-07	6.449733e-09
a	1.6314824e-06	0.00018067168	0.0015697044	0.008368995	0.008213282	0.7357359	0.22361557	0.013631001	0.0049362783	0.0019035939	0.0010056829	0.0008085607	2.325704e-05	2.5417412e-06	8.0332137e-07	1.4484547e-06	1.7885047e-07	8.183203e-08	3.1618893e-07	4.9475506e-08	4.6815873e-07	3.6357513e-08
