 	non	ha	che	li	aspettiamo	</S>
e	0.7919133	0.20467836	0.0030835823	8.2449034e-05	0.00022220495	2.0205815e-05
n	0.6159731	0.358991	0.023744242	0.00045976965	0.00076607015	6.5850356e-05
è	0.15127574	0.7733157	0.07019624	0.004257877	2.6991971e-05	0.0009274209
n	0.03499477	0.62264353	0.32656202	0.011474019	0.004268235	5.7424753e-05
a	0.0023059065	0.53483814	0.42371324	0.038993012	0.0001079591	4.1769028e-05
t	0.062072422	0.2114171	0.17295164	0.47348768	0.072784446	0.007286728
u	0.00025560637	0.021807676	0.5009914	0.44002104	0.02721069	0.009713574
s	0.0013928703	0.00582661	0.028927999	0.42591438	0.43555397	0.10238423
m	0.0004118589	0.0045548407	0.26976863	0.119783	0.31499922	0.29048243
ì	5.2971314e-05	0.0023785478	0.04550253	0.84071255	0.050032545	0.061320826
n	0.0014611161	0.0017748668	0.0131750945	0.2812387	0.68859375	0.013756483
o	0.00034167067	0.0037489878	0.060393073	0.7929852	0.08544872	0.057082403
m	0.001543767	0.0025213999	0.0016665014	0.017239101	0.6117103	0.3653189
e	2.0740787e-05	0.00041765714	0.005354328	0.10340289	0.75639087	0.13441353
</S>	2.304754e-05	1.312508e-05	4.2799566e-05	0.00082403695	0.043766443	0.9553305
