 	lo	sentii	che	arrivò	</S>
t	0.9997527	0.00022666492	5.906615e-06	1.32977575e-05	1.3465026e-06
o	0.9988526	0.0010914456	1.6320706e-05	3.947501e-05	1.6568964e-07
n	0.10071093	0.89763856	0.0014366242	0.00018502532	2.8866089e-05
ì	0.8823491	0.112770565	0.003478834	0.00072678196	0.00067480834
k	0.023218593	0.94530964	0.030614963	0.00077707006	7.966152e-05
u	0.0061741974	0.98853	0.0045874864	0.0006980014	1.0335926e-05
s	0.12317769	0.64172924	0.07757309	0.15353143	0.003988543
a	0.00294382	0.25704777	0.70159954	0.038366888	4.1991374e-05
k	0.015555396	0.15663184	0.673184	0.14504369	0.009585102
a	0.00022720834	0.005716505	0.87402785	0.11589864	0.004129722
ì	0.0011392313	0.001068396	0.051371586	0.90472996	0.041690763
r	0.016166221	0.006472992	0.111681655	0.7942596	0.07141945
t	7.743363e-05	0.0011933168	0.06330092	0.92895555	0.0064727725
e	0.006825452	0.0007031542	0.0079233395	0.8930094	0.09153861
</S>	0.00241498	0.0007270536	0.0011051272	0.12815684	0.86759603
