 	che	vende	buon	pane	</S>
k	0.9968677	0.003115528	1.5190018e-05	8.282303e-07	7.458137e-07
a	0.8619861	0.11939926	0.015993439	0.002573107	4.8117137e-05
i	0.05099832	0.94374824	0.0052203513	2.1667902e-05	1.13510305e-05
p	0.0033156082	0.98343176	0.013137087	0.00010218857	1.3406473e-05
u	0.0007616009	0.9277996	0.07111349	0.0002923662	3.291335e-05
l	0.003525412	0.92579436	0.07065306	2.0176312e-05	6.977696e-06
ì	0.0006578705	0.4025114	0.5952648	0.0014330777	0.0001328725
t	0.001226101	0.09456583	0.90402323	0.00018037071	4.4166873e-06
s	0.0014825847	0.15977259	0.8379265	0.0007804388	3.7871563e-05
o	0.003008527	0.7471974	0.24779707	0.00054116576	0.0014558418
m	0.017111061	0.07795549	0.8677611	0.032999117	0.0041732886
ì	4.8241116e-05	0.027478876	0.9451713	0.025870403	0.0014311533
k	0.000397114	0.002033241	0.91639465	0.07927207	0.0019029006
a	0.0030789285	0.0023078262	0.13534057	0.10369918	0.7555735
l	0.1755553	0.1253621	0.123589166	0.4673351	0.10815837
ò	0.00085942296	0.0034823315	0.09614142	0.6902386	0.20927824
</S>	0.0011988436	0.0020413818	0.015006546	0.9045365	0.07721681
