 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
m	0.99953973	0.00041195736	3.650936e-05	9.448584e-06	1.8370272e-06	2.1838082e-07	1.9716894e-07	1.2085712e-08	1.8821538e-08	8.853846e-08
ò	0.1264934	0.4275761	0.1417953	0.3002956	0.001667958	0.001073645	0.0010815972	3.7252098e-06	3.7708971e-06	8.880514e-06
t	0.8540234	0.14256315	0.0033090955	9.8251556e-05	2.7636913e-06	2.6182802e-06	3.343816e-07	4.197552e-08	9.85423e-08	2.1890439e-07
t	0.2624966	0.6977269	0.03956373	0.00020622513	2.0997772e-06	1.1831596e-06	3.0707065e-06	5.020347e-08	5.959138e-08	1.12477515e-07
i	0.19177622	0.77724	0.030270185	0.00038595806	0.00020169106	5.9163754e-05	2.0419731e-05	3.3870958e-06	3.9764573e-06	3.905532e-05
ì	0.06545509	0.8576363	0.048483767	0.027295662	0.0005492424	0.0005365878	3.6748832e-05	1.3591488e-06	2.0986824e-06	3.2803769e-06
r	0.0064817714	0.92496365	0.06782239	0.0006902498	1.964435e-05	1.8480967e-05	2.3485852e-06	2.760421e-07	5.1188573e-07	7.275932e-07
t	0.0020951405	0.8210854	0.1764994	0.00028776866	2.8396764e-05	1.2129195e-06	2.7007388e-06	4.5035392e-08	4.736171e-08	1.2884707e-08
e	0.0010151578	0.89559954	0.10216681	0.0010346881	0.0001545668	1.910183e-05	4.359372e-06	4.613955e-07	4.329262e-07	4.845403e-06
è	0.0072398577	0.70829666	0.19859159	0.08466056	0.0006697862	0.00048321421	5.5402175e-05	7.80901e-07	9.214374e-07	1.2934632e-06
t	0.0024526818	0.21444534	0.76638824	0.016445553	0.00020149356	5.3495984e-05	1.1095926e-05	3.365003e-07	5.8788305e-07	1.241258e-06
t	0.00015329778	0.22561777	0.7629567	0.009208202	0.0020504952	7.980392e-06	5.308584e-06	2.0200379e-07	1.4598196e-07	1.7896005e-08
a	0.000535824	0.26416472	0.6018597	0.12678702	0.0063668005	0.00024476016	2.6641168e-05	1.7346711e-06	9.762338e-07	1.1878339e-05
s	0.0037251296	0.06445876	0.4052531	0.51713765	0.005939111	0.002825733	0.0006534396	3.0120373e-06	2.4759076e-06	1.6053845e-06
e	2.6855652e-05	0.026360027	0.09928854	0.76016927	0.11367193	0.00030465692	0.00017535682	1.977112e-06	1.242718e-06	2.8097775e-08
o	0.00011105606	0.0018862362	0.031242417	0.95289356	0.013343197	0.000499375	2.3910969e-05	8.9028596e-08	7.3835885e-08	4.5818904e-08
G	0.0007113536	0.00526593	0.033338487	0.83893955	0.11482948	0.006569613	0.00034241346	1.6893179e-06	1.2724272e-06	2.6639415e-07
i	2.5769508e-05	0.00067722343	0.0035157031	0.612126	0.38261357	0.00086359284	0.000116196316	3.558526e-05	1.8861449e-05	7.5516596e-06
u	5.478508e-05	0.0003565518	0.011226471	0.85508364	0.12149648	0.01127542	0.0005060449	3.9270063e-07	1.3063364e-07	4.2130445e-08
v	0.0024742496	0.0027594971	0.001942397	0.0804727	0.8117946	0.098004825	0.002338142	0.000117166266	9.377164e-05	2.60559e-06
à	4.3378855e-05	0.0001924882	0.00027795197	0.035355147	0.8963408	0.06405783	0.0033573373	0.0002719079	0.000101796206	1.272552e-06
n	7.8825535e-05	0.000134713	0.00084817846	0.036889393	0.935129	0.02528565	0.0016299833	3.2912012e-06	6.8114576e-07	4.0988988e-07
n	0.00030290266	0.00046568437	0.0003390969	0.0017409232	0.97953415	0.017388184	0.00013469005	4.4871318e-05	2.0961143e-05	2.849454e-05
i	0.0044619064	0.008938125	0.009027178	0.2990952	0.4888375	0.18308327	0.0062143854	4.426208e-05	1.274771e-05	0.00028535113
e	0.003780746	0.0056378553	0.0060784784	0.029213017	0.5270136	0.34183243	0.08536781	0.0007942658	0.0002470198	3.4797078e-05
A	0.00030671924	0.00045272722	0.00030018037	0.0021783735	0.073730655	0.9130598	0.0097728865	0.00016302837	3.2923166e-05	2.759753e-06
n	0.00048650897	0.0006212639	0.0011975147	0.0153757185	0.21720721	0.7417227	0.023275279	9.788825e-05	5.254745e-06	1.0626332e-05
n	9.792838e-05	0.00011521773	0.00016524509	0.0011572732	0.7014891	0.29165074	0.0042001028	0.00095657544	0.00010009793	6.775743e-05
a	0.0018240259	0.0031550096	0.0014708764	0.025814341	0.03368858	0.8374211	0.09581884	0.00035859767	3.619736e-05	0.0004125415
a	0.00044144434	0.0008419149	0.00078021275	0.0019849318	0.011370123	0.93797	0.04318869	0.0030328946	0.00033484097	5.4940832e-05
n	9.428706e-05	0.00016953521	7.677915e-05	0.00015445663	0.003879588	0.9831898	0.0102904495	0.0020823865	4.070168e-05	2.1964053e-05
k	9.524484e-05	9.054768e-05	7.972338e-05	0.00077819725	0.12649538	0.6160658	0.098316565	0.15038683	0.007287099	0.00040462555
ò	0.011709446	0.016053671	0.0022089256	0.005982199	0.017262459	0.58324814	0.10986649	0.116743885	0.07501087	0.061913878
r	0.00065143954	0.0012873181	0.0014002254	0.0030492854	0.005207559	0.44354153	0.40103593	0.12927	0.014494248	6.2436375e-05
