 	sta	e	dorme	nel	letto	</S>
s	0.9985416	0.0014097533	1.2120708e-05	1.3023777e-05	1.9537658e-05	4.0826967e-06
t	0.65977514	0.3395127	0.00022691223	1.6903494e-05	0.0004678004	4.8638134e-07
e	0.21858655	0.7415891	0.035821225	0.003157578	0.0007853401	6.0082748e-05
c	0.04467561	0.94852936	0.0061282846	0.00048822683	9.048564e-05	8.803958e-05
e	0.00479302	0.65858984	0.32125953	0.005289798	0.009436625	0.0006312108
p	0.024209881	0.8955052	0.06422163	0.013898807	0.0018217474	0.0003428732
l	0.0015014971	0.3335178	0.49629545	0.060633	0.09127225	0.016780045
ò	0.0071600205	0.11549783	0.6440843	0.045362324	0.18642056	0.0014750245
n	0.0014584193	0.038517587	0.43462178	0.500327	0.024578037	0.00049714925
n	0.0007956212	0.012081724	0.85905594	0.051950485	0.06544767	0.010668593
i	0.004355117	0.057497256	0.562179	0.2907819	0.07856002	0.0066266307
s	0.011845324	0.0073376903	0.0073653385	0.1525218	0.7818903	0.039039537
t	1.5480444e-05	0.0011801894	0.036602605	0.056869373	0.9007324	0.004599995
o	1.9952939e-05	0.0022310116	0.0052863443	0.02703073	0.9391397	0.026292194
g	0.00054591836	0.0003861224	0.0011703967	0.024238257	0.7919259	0.18173346
r	2.6232034e-05	0.0011366154	0.008684028	0.48653325	0.44998214	0.05363774
à	1.5959691e-05	0.00022293502	0.0006132565	0.021184241	0.90703	0.070933595
t	0.000119223914	9.0397756e-05	0.00034468115	0.034783922	0.77663916	0.18802261
t	1.1667241e-05	0.00012547977	0.0031050781	0.13361031	0.8560096	0.0071378774
i	1.595214e-05	2.3053512e-05	1.9590841e-05	0.002143212	0.9916352	0.0061630243
</S>	0.00010196162	3.6750418e-05	2.454469e-05	0.00053851906	0.029399259	0.969899
