 	è	possibile	che	è	entrato	da	qui	</S>
i	0.99835	0.0015110912	9.875857e-05	3.714911e-05	1.5232122e-06	4.2595119e-07	4.5480766e-07	5.602083e-07
s	0.27806932	0.66748834	0.03235392	0.021098692	0.00081108493	0.00016219539	8.309881e-06	8.154075e-06
o	0.29685706	0.58996606	0.11048179	0.00037091842	0.0018995551	0.00011885564	0.000298826	6.9662606e-06
g	0.0048427503	0.7651439	0.20438491	0.025530085	9.133918e-05	5.484214e-06	4.371919e-07	1.172609e-06
g	0.0108263735	0.6969368	0.25831535	0.0035084558	0.029985785	0.0003228201	9.812835e-05	6.3181296e-06
è	0.0013605435	0.35072201	0.39880478	0.14308877	0.10552717	0.00045406216	3.20159e-05	1.0665196e-05
s	0.00082990003	0.9188833	0.057645172	0.022544384	9.3919574e-05	1.9209758e-06	5.0666483e-07	7.486921e-07
t	0.0004737785	0.8812591	0.103809915	0.0019740104	0.0123179015	8.989068e-05	7.4066484e-05	1.3148363e-06
e	7.7701196e-05	0.8469238	0.081795275	0.012451164	0.05831715	0.00035661992	2.9299956e-05	4.894859e-05
k	0.006100216	0.11766511	0.5012219	0.35331807	0.020047635	0.00065689406	0.00071187696	0.0002783104
a	6.24202e-05	0.10520169	0.36294183	0.20957519	0.30784974	0.0140690785	0.0002915837	8.509836e-06
m	0.0019913556	0.0070119994	0.05999055	0.8921046	0.031359356	0.00697808	0.00046046876	0.00010354951
b	3.4109155e-05	0.0030459622	0.013753425	0.012212373	0.88844454	0.075308636	0.0040333453	0.003167582
ì	0.00010758771	0.00089269044	0.0024539824	0.001407514	0.8996032	0.0839973	0.0109122535	0.00062558136
k	0.0015689398	0.005217639	0.06799768	0.7526101	0.107039556	0.06409007	0.0012709977	0.00020499347
e	0.00622638	0.0024175313	0.005273567	0.006020636	0.8678774	0.08516583	0.010958482	0.016060188
a	0.043801043	0.076758444	0.04987449	0.099194884	0.013587856	0.271449	0.34968892	0.09564534
p	0.004655487	0.0010943908	0.0012955968	0.0076549784	0.030622412	0.28681454	0.44858766	0.21927497
ò	1.1148511e-05	0.00012884261	0.00014112346	0.001846868	0.04021641	0.532584	0.2180742	0.20699747
t	6.594177e-05	9.525218e-05	0.00028686225	0.0007808269	0.00014455532	0.03942104	0.9343765	0.024829047
t	1.3091414e-05	4.341203e-05	8.405712e-05	0.00026038132	0.025896456	0.38724604	0.51717246	0.06928413
u	1.3975522e-05	6.110151e-05	7.487138e-06	2.837199e-06	0.0011787754	0.011441718	0.91549635	0.07179768
</S>	0.00010102604	3.7380847e-05	1.2795605e-05	8.8163415e-06	4.447692e-05	0.00030101638	0.16916364	0.8303308
