 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.9965899	0.0033989786	9.343582e-06	4.851995e-07	1.0087724e-07	4.723424e-08	1.0033624e-06	1.1753951e-07
a	0.9412393	0.058309067	0.0004441857	6.1423875e-06	7.290847e-07	9.4310664e-08	4.5566554e-07	5.0886464e-09
k	0.6342788	0.23961206	0.12595722	0.000120398116	6.710095e-06	1.8109525e-06	1.9792837e-05	3.1956754e-06
à	0.15662414	0.82188773	0.02008984	0.00080434576	0.0004265294	9.095801e-05	7.296021e-05	3.4749294e-06
j	0.008653534	0.96304595	0.028247932	5.2208958e-05	3.2451985e-07	1.5816399e-08	3.7657795e-08	2.6223173e-08
o	0.089992695	0.8105362	0.09918531	0.00026284423	1.6778777e-05	1.8766149e-06	3.8635744e-06	4.7350977e-07
t	0.0773	0.20757937	0.71057135	0.0041553085	0.00010966631	3.2792417e-05	0.00022228224	2.9259007e-05
r	0.0006836102	0.18573782	0.79680586	0.01639314	0.0003512731	8.110082e-06	2.0260777e-05	1.371235e-08
a	0.0014984413	0.8847945	0.107350856	0.0060964613	0.00024937844	5.6773347e-06	4.5872307e-06	1.1576494e-07
v	0.002827949	0.06808783	0.92466277	0.004375598	3.5851954e-05	2.6106154e-06	6.9125263e-06	3.9523403e-07
ù	9.948543e-05	0.022953764	0.86978793	0.09600247	0.010496078	0.00039970386	0.00021698656	4.3585365e-05
d	0.0032205586	0.011362836	0.8693784	0.11417535	0.0017685095	5.1600065e-05	3.6747817e-05	5.9192466e-06
i	0.0057208114	0.0032718552	0.8676845	0.11792301	0.0048125503	0.00021157597	0.00034607723	2.9593157e-05
a	0.043151684	0.0319224	0.2772919	0.6001277	0.038604543	0.0037550768	0.005076783	6.992076e-05
i	0.025892792	0.00829481	0.08661254	0.71885645	0.14193243	0.016246118	0.0021354822	2.9427736e-05
g	0.026751745	0.035816427	0.13757856	0.4432149	0.29739064	0.055981196	0.0032108368	5.5613124e-05
r	0.00013672098	0.0011899914	0.032810267	0.31095126	0.51411283	0.13367763	0.007053516	6.774165e-05
à	3.0002531e-05	0.0010944656	0.019851817	0.16669841	0.6183033	0.18860783	0.0047349436	0.0006792643
f	0.00077011273	0.0009485594	0.055527132	0.6132946	0.24932627	0.06891236	0.010562968	0.00065798435
u	0.00019157985	0.00049223413	0.02017293	0.28412396	0.4251796	0.22865303	0.040932488	0.00025424574
t	0.03004703	0.037468407	0.009750399	0.029493453	0.10972689	0.71235543	0.06578507	0.0053733066
t	1.4152815e-05	5.2596624e-05	0.0014184326	0.03189984	0.26252222	0.4792505	0.22308333	0.0017588806
e	1.45578515e-05	0.000106067346	0.00080232765	0.012249177	0.24003331	0.5963849	0.14356354	0.0068461276
a	0.0014876989	0.0012014192	0.0016000821	0.0037428306	0.028844759	0.6933949	0.1531727	0.116555594
t	0.0009414436	0.00080534123	0.0021967958	0.0035498214	0.039043907	0.67269087	0.24795236	0.032819435
s	1.4910602e-05	0.00011187741	0.00030495613	0.004071959	0.05295014	0.32178903	0.5079441	0.112813026
è	4.6893624e-06	9.60613e-06	0.00011105564	0.0040109423	0.060912732	0.29738307	0.59759617	0.039971743
n	0.00027568618	0.00013508875	0.00036098086	0.0008193907	0.004812064	0.09014274	0.27543774	0.6280163
ì	0.0002129392	0.0008189847	0.00025754172	0.0014807258	0.03373504	0.24488114	0.71167123	0.006942362
t	0.00054311374	0.0012456325	0.0004171141	0.00018461137	0.0006438116	0.007924548	0.8331657	0.15587546
t	3.0512241e-05	7.80093e-06	4.0210798e-05	2.1019348e-05	0.00013301549	0.0039771753	0.9702525	0.025537698
a	0.00027038995	9.469411e-05	0.0001874534	3.9321454e-05	0.00021197299	0.004693308	0.9694176	0.025085306
</S>	0.00051636185	0.0010377662	0.00021649926	4.2402382e-05	4.525598e-05	0.00012677546	0.007961639	0.99005336
