 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.74689794	0.25248694	0.0005873543	6.491213e-06	9.412306e-06	9.367961e-06	4.828248e-07	8.4026846e-07	1.144961e-06
n	0.6052665	0.36652762	0.026122825	0.0003524749	0.0009551114	0.0007488077	2.1318254e-05	3.5484168e-06	1.7337113e-06
è	0.3415543	0.550989	0.06475115	0.039554697	0.0016910413	0.00017193159	0.0001024742	0.0011720547	1.3315937e-05
n	0.049468197	0.8484459	0.09728525	0.0026268014	0.0018086372	0.0003580844	5.0352687e-06	1.2576904e-06	9.577626e-07
a	0.011258424	0.95134485	0.029782437	0.0057448773	0.0017247167	5.7334728e-05	1.4109804e-05	6.697576e-05	6.255756e-06
m	0.071081944	0.41491503	0.4382245	0.014278914	0.057721287	0.0034379088	0.0002108634	8.700792e-05	4.2534808e-05
i	0.0024049703	0.0087350905	0.851399	0.11827942	0.014201152	0.0025623308	0.0008342847	0.0015080494	7.567676e-05
l	0.008864377	0.03604963	0.82604754	0.05365895	0.07500991	0.000361451	4.499706e-06	1.7462075e-06	1.8987145e-06
ì	0.0010728771	0.0011852941	0.7681648	0.121825516	0.091521494	0.01274859	0.0014942867	0.0019157236	7.145696e-05
s	0.00499702	0.047226403	0.6512348	0.02267302	0.25578228	0.018036079	3.5324047e-05	1.029568e-05	4.8000147e-06
i	0.00051632244	0.0013654078	0.3293162	0.4713603	0.1901506	0.0071907244	5.0906543e-05	4.337358e-05	6.2107415e-06
m	0.053351182	0.064978465	0.1839312	0.04590269	0.4800858	0.16478002	0.0048471065	0.001980775	0.0001427177
b	0.0005085889	0.00032509654	0.29880118	0.16642879	0.18899797	0.3348796	0.007603815	0.002290966	0.00016400676
r	0.0007832594	0.0014851926	0.028598873	0.92807734	0.025868017	0.007826766	0.0014656507	0.0056412052	0.0002536795
ò	0.0015944713	0.0014112835	0.054796398	0.85409826	0.058153056	0.018504696	0.005511071	0.0058864946	4.4179393e-05
s	0.009946851	0.04376962	0.043739326	0.023824537	0.36137187	0.5097181	0.0019048181	0.0051782476	0.00054655777
t	0.012248339	0.012148009	0.045077473	0.07622019	0.16975741	0.6234271	0.015656633	0.019471444	0.025993388
i	0.00035432747	0.00056098984	0.07218299	0.11960151	0.24183983	0.53221685	0.023020256	0.0021054572	0.008117764
n	0.012649475	0.021707645	0.0072125434	0.041474648	0.0763043	0.54078555	0.25358304	0.040923264	0.00535947
A	4.7302497e-06	9.102972e-06	0.0016381477	0.0015152962	0.01591658	0.65380096	0.30840373	0.018516563	0.00019487977
n	0.0015452206	0.0029913604	0.00091831066	0.002557724	0.049368963	0.7218986	0.20910345	0.009725447	0.0018909612
n	0.0005460094	0.00024605336	0.0031613065	0.000890758	0.008271705	0.821199	0.12967767	0.025695127	0.01031235
a	0.00092104945	0.0024446615	0.0076430473	0.038240336	0.034724046	0.09784411	0.3279745	0.30000177	0.1902065
à	0.0025847738	0.0023665985	0.00032524395	0.020438073	0.008458469	0.022234103	0.6096118	0.28768522	0.046295643
t	0.002934343	0.0012787168	0.00026404817	0.0033800243	0.0031654036	0.023062585	0.64453155	0.20708963	0.11429368
s	2.7905526e-06	2.4210544e-06	9.62984e-05	3.4521563e-05	0.0002412078	0.053397603	0.4707599	0.46951705	0.005948165
e	8.061652e-06	3.5693959e-06	2.6569971e-05	0.00035558193	3.277304e-05	0.00015180382	0.02002567	0.9542845	0.02511135
t	0.00013258599	2.6015845e-05	1.2713461e-05	0.0009379264	6.254796e-05	0.00045642167	0.026593024	0.45893493	0.51284385
ù	4.3851607e-08	9.138535e-08	9.611108e-07	2.6635114e-06	5.336463e-06	0.000456176	0.07312336	0.9145316	0.011879913
o	5.4434945e-06	9.04373e-06	5.062529e-07	2.1917123e-05	1.1674628e-05	2.1745902e-05	0.00560866	0.9443468	0.04997414
</S>	6.687329e-05	2.8392564e-05	5.9323256e-06	0.00061349146	4.4782853e-05	1.4970322e-05	0.00020202901	0.043826282	0.9551972
