 	io	nella	mia	vita	ho	sempre	lavorato	</S>
e	0.9969572	0.002861034	0.000112607646	5.9413505e-05	7.8117355e-06	1.3645994e-06	1.7411921e-07	3.9662373e-07
v	0.9181276	0.06773804	0.0086202	0.0046041766	0.00085417496	5.3705342e-05	1.1742121e-06	9.966284e-07
ò	0.6976577	0.1986934	0.08530234	0.012740848	0.0039695287	0.0012454919	8.6079155e-05	0.00030463916
s	0.10345509	0.27989253	0.3855799	0.2032175	0.027445797	0.00025334413	5.254995e-05	0.000103229235
t	0.023842309	0.71432316	0.2530226	0.007508522	0.0012726476	2.8449627e-05	1.4526593e-06	8.9577804e-07
i	0.0053468766	0.92221797	0.055530813	0.016397698	0.00046991996	8.504798e-06	3.6246704e-06	2.473276e-05
z	0.010643878	0.46423063	0.5077841	0.015265645	0.0019432848	0.00012267011	1.9069898e-06	7.807794e-06
o	0.002466379	0.4104515	0.572966	0.009482472	0.0042167073	0.0003982988	1.5517311e-05	3.2034425e-06
ì	0.005684121	0.077576816	0.76006985	0.13746709	0.019122016	7.7329176e-05	2.4604907e-07	2.53054e-06
m	0.004868849	0.014512654	0.19593152	0.7225534	0.061920613	0.00017123147	3.7066434e-06	3.795769e-05
m	0.0019180755	0.024484377	0.18708831	0.48050475	0.29591805	0.009473035	0.0004605623	0.00015280313
u	0.001338331	0.7595062	0.13107932	0.03947141	0.06195493	0.0047243414	0.000255557	0.0016699235
ì	0.015236414	0.039294712	0.29436508	0.2468544	0.36026675	0.042953048	0.0003881328	0.0006414653
m	0.004001184	0.011065369	0.042900298	0.15343481	0.74903744	0.039285164	5.9262322e-05	0.00021650603
e	0.00013196473	0.00080229423	0.006496068	0.11379973	0.4822204	0.3909578	0.0053794724	0.00021225185
p	0.015289624	0.02393276	0.025160832	0.0050694407	0.12022328	0.78971976	0.016079575	0.0045247166
à	3.0069683e-05	0.00019308121	0.0012121452	0.0021617317	0.04604226	0.84368646	0.10446137	0.0022128585
n	1.8051134e-05	2.3137129e-05	0.00050284946	0.0010063532	0.020476233	0.9527857	0.024625106	0.00056258304
t	0.00020534087	0.0006833536	0.0010337144	0.0010141856	0.0139525235	0.7744036	0.16603254	0.042674854
a	0.00020960325	0.017631002	0.001991023	0.000102300655	0.005831418	0.84066653	0.07155229	0.06201578
p	0.002804015	0.010623806	0.004094114	0.00021296158	0.0064295186	0.11193679	0.4232199	0.44067898
o	1.1287885e-06	4.6911327e-06	7.825466e-06	3.024466e-05	0.0006102145	0.1013108	0.8865949	0.011440261
l	6.738424e-06	8.096874e-06	1.5146613e-05	4.8781408e-06	0.00019702574	0.037900098	0.7809739	0.18089405
e	2.0597113e-06	2.5145002e-05	1.4913074e-05	4.855637e-06	0.000100739264	0.0133511955	0.9426451	0.043855947
m	1.4318655e-05	2.5479794e-05	1.5722217e-05	8.7206104e-07	3.3477834e-05	0.005198354	0.69637334	0.2983385
i	8.185483e-06	1.117702e-05	1.5643402e-05	4.9976716e-06	0.00011507478	0.012409524	0.93908584	0.04834947
m	6.9503903e-06	1.0039698e-05	7.4881073e-06	4.6654637e-07	1.3420092e-05	0.0011818086	0.7160705	0.2827093
m	7.140754e-06	1.2295594e-05	1.3345774e-05	1.9468266e-06	2.6791864e-05	0.0031353857	0.9402046	0.056598455
è	2.558447e-05	0.0007152391	0.00014580562	4.6661e-06	4.5814013e-05	0.00294881	0.23354521	0.7625689
n	0.00010219082	0.00040853024	0.00031705434	2.6698675e-05	0.00045406862	0.003675624	0.56399786	0.4310179
a	0.00022217557	0.0014539945	0.0005399683	3.0088217e-05	0.00034909564	0.0040250276	0.21881422	0.77456546
</S>	0.00033593448	0.003378281	0.00069391495	1.2101665e-05	0.00041015472	0.00039817076	0.0270493	0.9677221
