 	avete	fatto	già	le	verdure	</S>
i	0.99390453	0.005984138	7.028158e-05	7.494893e-06	3.0723284e-05	2.9997689e-06
k	0.7537303	0.20784909	0.033852722	0.001108205	0.0034337775	2.5926902e-05
à	0.6673596	0.27923802	0.046994686	0.0032542702	0.0030783159	7.507691e-05
m	0.14598617	0.5839093	0.26890123	0.0011267232	7.203766e-05	4.518252e-06
a	0.09611743	0.3132888	0.5736531	0.015162057	0.0016450395	0.00013347351
t	0.14011787	0.1851846	0.6129761	0.04713115	0.013652338	0.00093795307
o	0.00020112327	0.02189342	0.8162777	0.15723565	0.0043718265	2.0339732e-05
g	0.0054748124	0.019557102	0.82810575	0.11861021	0.028072892	0.0001791807
i	0.0007116332	0.029894719	0.5811944	0.34169456	0.04247531	0.004029426
à	0.0026548023	0.0025058119	0.22455455	0.26812658	0.4993593	0.0027989766
t	0.0051035252	0.00084895134	0.08694797	0.5199679	0.37601382	0.011117833
a	3.311966e-05	0.0014397978	0.4037532	0.49738708	0.096443854	0.00094304106
l	0.033949543	0.0063937814	0.008646699	0.15622784	0.63901335	0.15576881
à	3.3538487e-05	0.00020067306	0.016746743	0.43241733	0.40517	0.14543171
c	0.0003815563	0.0004616235	0.0036792448	0.07494369	0.7124727	0.2080612
h	1.9323172e-05	3.2202417e-05	0.0003268577	0.030891407	0.9489256	0.01980458
a	2.3460896e-06	3.3370582e-06	0.0004323572	0.023465909	0.9573479	0.018748038
n	1.7920403e-05	1.6738265e-06	4.6699577e-05	0.0008068371	0.03371878	0.96540815
a	6.5963973e-06	3.2628526e-05	0.0006011509	0.061589006	0.55241764	0.38535297
</S>	2.9417131e-05	2.9047556e-05	2.079714e-05	0.0010084207	0.034479354	0.96443295
