 	non	aveva	dove	aveva	per	stare	</S>
e	0.4847717	0.51413333	0.0009294954	0.00012225841	2.609224e-06	3.642359e-05	4.1348876e-06
n	0.5439588	0.41481516	0.038282514	0.002704398	0.00015466768	6.788988e-05	1.6526246e-05
ì	0.097095974	0.7956894	0.09456892	0.008937392	0.0006323122	0.0030111177	6.488061e-05
c	0.016484236	0.9215663	0.059520196	0.0024091282	1.3519128e-05	5.25208e-06	1.2803162e-06
h	0.00044816913	0.95394254	0.028217949	0.017285647	4.943205e-05	5.5523487e-05	8.5111935e-07
e	2.8076509e-05	0.95537597	0.024097968	0.02040078	5.2970394e-05	4.2150245e-05	2.0039206e-06
p	0.0018517383	0.052139234	0.91054887	0.034652326	0.0004562282	0.00028881102	6.28373e-05
u	6.613194e-05	0.02594064	0.28186658	0.65744585	0.032004565	0.0026498009	2.6397898e-05
ì	0.031454988	0.0049163066	0.17834803	0.75678307	0.021932686	0.0032771549	0.00328769
c	0.009069357	0.0082657365	0.07294877	0.8683141	0.032048635	0.008061854	0.0012915786
h	0.00051855604	0.0040186765	0.01365631	0.55427235	0.3895548	0.03634911	0.0016301553
e	9.205108e-06	0.0024356742	0.007556348	0.8880333	0.07592336	0.025832286	0.00020989345
n	0.003997443	0.0044031334	0.004352269	0.121331595	0.7670243	0.06250563	0.036385573
a	2.8499908e-06	6.5452776e-05	0.0019275004	0.020919317	0.9098397	0.06659402	0.00065107166
s	0.0008818905	0.00014173648	0.00030431605	0.0008176235	0.06816929	0.45738488	0.47230026
t	1.9962047e-06	0.00012258846	0.0005476713	0.008523047	0.2961172	0.6344661	0.06022133
a	5.0518577e-07	1.5104236e-05	0.0014478496	0.0141575765	0.22652294	0.74765515	0.010200938
t	9.116895e-05	1.2224787e-05	6.2783256e-05	0.0004463674	0.052389964	0.6384103	0.30858728
ì	2.9880275e-06	0.001147221	0.0016281222	0.01611356	0.18466672	0.69595516	0.100486234
</S>	0.00017751723	4.3079257e-05	2.1699427e-05	0.00032103196	0.015174185	0.13376729	0.8504952
