 	che	sapeva	che	non	può	fare	il	bagno	</S>
k	0.9982266	0.0017388214	1.5354866e-05	9.621513e-06	2.6717516e-06	2.2631784e-06	2.9024248e-08	4.47412e-06	2.4646906e-07
a	0.9144082	0.07977044	0.004538583	2.1818745e-05	0.0011426467	4.9100232e-05	7.829313e-06	5.6741817e-05	4.654002e-06
ì	0.15973578	0.7991661	0.020141764	0.010820907	0.007148987	0.0029463782	2.14286e-06	3.589209e-05	2.1022693e-06
s	0.008793432	0.9496101	0.027662672	0.008218441	0.0042676576	0.0014349949	4.193699e-07	1.1871489e-05	4.98301e-07
s	0.006065143	0.9818615	0.012013107	1.3814828e-05	4.5112905e-05	9.696239e-07	1.2827991e-07	2.0106052e-07	8.613242e-08
e	0.0037114741	0.9019352	0.09054398	0.0023482654	0.000622828	0.0005627872	3.3281226e-06	0.00023059633	4.1557898e-05
r	0.0075732605	0.45382094	0.36715534	0.05001652	0.114283584	0.007078446	1.1308977e-05	5.2070187e-05	8.421994e-06
e	0.00040698054	0.65454656	0.34197596	0.001195392	0.0018168788	5.1778e-05	3.943864e-06	2.406965e-06	1.10862814e-07
k	0.0022594791	0.045989923	0.55398047	0.28417975	0.100680925	0.012887581	1.2756102e-05	6.4915866e-06	2.639988e-06
a	0.00019918759	0.110823855	0.79517424	0.053860933	0.034440175	0.005151063	8.590113e-05	0.00025712614	7.5782573e-06
e	0.0014398851	0.0027079901	0.19005834	0.34003142	0.22841893	0.2371883	0.00012775979	2.4471814e-05	2.9234463e-06
s	0.0030474467	0.0027775106	0.077306286	0.36410958	0.45458972	0.095901504	0.0022048617	2.7431048e-05	3.5689285e-05
ò	0.000118129356	0.0026230337	0.089271635	0.065664835	0.7972395	0.03219506	0.012421978	0.0003968966	6.8982554e-05
z	0.0001544936	0.0012361862	0.0039259642	0.028828157	0.88486266	0.07982306	0.0011532422	1.4566249e-05	1.6235875e-06
i	0.0019870636	0.0062283655	0.15400776	0.2795777	0.4363164	0.08160607	0.032522313	0.0074681994	0.000286118
k	0.0201916	0.016709352	0.02768923	0.25349596	0.13683367	0.39724657	0.14546877	0.0007860094	0.0015787999
à	0.0020397757	0.0039363513	0.032158848	0.0834505	0.17792776	0.07480505	0.5021319	0.120205745	0.0033441551
i	0.0029494287	0.0063500665	0.0076469444	0.033819303	0.2188447	0.2551845	0.40677148	0.06607979	0.0023538307
o	0.0068315687	0.005629759	0.0012088624	0.060531527	0.10488536	0.30964017	0.47143242	0.009581709	0.030258672
b	0.00980896	0.0039695557	0.0010473971	0.014440379	0.024123482	0.13453093	0.69775593	0.03011967	0.084203646
à	0.0003280484	0.00044189856	0.00016350856	0.0023150838	0.008926235	0.0022321611	0.1502622	0.4889168	0.34641403
g	0.00028138803	0.00037122896	0.0005471138	0.0038105997	0.008721473	0.008318723	0.10563803	0.7457613	0.12655014
n	0.00023465624	0.00011085032	6.725188e-05	0.0014005224	0.0018143745	0.0011440814	0.093244925	0.7565711	0.14541218
o	0.006768583	0.0032331839	9.288359e-05	0.00028729122	0.039744727	0.00015545108	0.08770687	0.13360979	0.72840124
</S>	0.00031737026	0.0005327682	5.590686e-05	0.0001759519	0.001360047	0.00052539527	0.0064200806	0.069775134	0.92083734
