 	guardate	che	il	ladro	che	il	ladro	è	entrato	da	qui	che	ci	sono	i	segni	</S>
k	0.99829036	0.0016387642	4.7173613e-05	2.0742193e-05	8.2713893e-07	2.3885116e-07	9.3325576e-07	5.5949414e-07	1.16793835e-07	1.9808207e-08	3.221635e-08	1.0720104e-08	3.1321772e-09	1.1810482e-08	4.9743503e-09	1.0986555e-08	9.630031e-08
a	0.7937233	0.11211031	0.082038514	0.011152253	0.000578534	0.00027182518	3.701251e-05	1.41161845e-05	1.6712367e-05	3.3846936e-06	3.860319e-05	1.1696965e-06	1.5769729e-07	7.353295e-07	8.243078e-07	3.3945273e-06	9.160102e-06
n	0.82565933	0.16551882	0.0077550053	0.001014093	1.8666404e-05	3.9732913e-06	1.08533495e-05	1.7747801e-05	4.775551e-07	1.3429951e-07	2.0666494e-07	9.496044e-08	4.4331816e-08	1.400535e-07	5.625721e-08	5.0581225e-08	3.411891e-07
o	0.26812005	0.6387956	0.081758656	0.009496266	0.00094341894	0.00051482796	0.00015342217	4.794198e-06	0.00013392852	3.7050773e-05	3.594133e-05	2.7714188e-06	7.47187e-08	1.1699346e-06	4.9556667e-07	4.6238085e-07	9.282789e-07
n	0.13971052	0.66983634	0.18433222	0.006095475	1.9247107e-05	3.1027696e-06	1.00297e-06	1.8519747e-06	3.085587e-08	1.3796807e-08	3.103406e-08	1.0816976e-08	3.971253e-09	1.7810486e-08	8.057237e-09	8.78698e-09	1.10161146e-07
ì	0.00968096	0.6835745	0.26801553	0.034643088	0.0021171505	0.0011536848	0.00033845147	8.3108525e-06	0.0002791651	9.4855684e-05	6.9893984e-05	1.2557441e-05	3.7735336e-07	5.9512977e-06	2.3744685e-06	1.4602736e-06	1.7270212e-06
s	0.018233782	0.40514475	0.40830734	0.16782977	0.00044842222	1.4045125e-05	8.282033e-06	1.29504315e-05	3.9932857e-08	8.4773276e-08	1.9714477e-07	4.96835e-08	2.3619036e-08	6.2328716e-08	3.2075203e-08	2.9959885e-08	9.234984e-08
e	0.06607749	0.41055948	0.3824646	0.14021328	0.0005868653	7.912035e-05	1.2176992e-05	4.43678e-07	1.113623e-06	3.1855998e-07	3.9313977e-06	1.1911337e-07	1.2530869e-08	9.778601e-08	6.356125e-08	1.3587447e-07	6.9560593e-07
t	0.036591444	0.185914	0.48595524	0.28549302	0.0035454407	0.0014731793	0.0004795977	0.00047528397	2.5169666e-06	2.0273599e-06	4.291207e-05	2.8525212e-06	5.752782e-07	5.2886417e-06	1.880942e-06	2.4305223e-06	1.2303147e-05
e	0.00013530054	0.09836892	0.41737014	0.46282583	0.020525914	0.0006318093	0.00013798555	7.0711684e-07	1.8246811e-06	2.4630683e-07	1.3231171e-06	2.207597e-08	1.0069703e-09	1.3114977e-08	5.1933675e-09	2.5224232e-09	1.6828108e-09
k	0.002208682	0.032441057	0.45295015	0.5076358	0.0041956324	0.00046462132	6.3526466e-05	3.8925864e-05	5.563809e-07	1.0273233e-07	3.99011e-07	5.774909e-08	1.1404453e-08	9.100851e-08	2.7767175e-08	4.836326e-08	3.1165527e-07
o	0.00025163195	0.057436682	0.1963678	0.668509	0.07230611	0.0036775672	0.0012415199	7.385837e-05	8.316388e-05	2.1429641e-05	2.349278e-05	3.0053322e-06	3.0450545e-07	2.806982e-06	6.4258484e-07	3.1381094e-07	6.2375796e-07
l	0.0017562243	0.00873732	0.14994946	0.76833373	0.059015203	0.010697937	0.0011770845	0.00032808993	1.902941e-06	3.5894118e-07	1.5041148e-06	1.7588748e-07	2.884128e-08	2.9773562e-07	6.855113e-08	8.739006e-08	4.5371735e-07
à	0.00021033223	0.011049431	0.06429161	0.6090558	0.28520837	0.02461269	0.0043257154	0.00013317878	0.00071458553	0.00022478237	0.00011631401	2.8138598e-05	3.329093e-06	1.818047e-05	4.4818485e-06	1.2257085e-06	1.8446643e-06
d	0.0004033065	0.005808949	0.03401243	0.7572918	0.16302434	0.022182876	0.0151615795	0.0021093495	2.3904681e-06	8.8566344e-07	1.7341274e-06	1.0098396e-07	2.5487639e-08	1.17776686e-07	2.5722546e-08	1.8174244e-08	4.552607e-08
r	0.003172566	0.007893508	0.03617706	0.68817157	0.24057685	0.012229226	0.010831065	0.00040319667	0.0004997965	2.654532e-05	8.955215e-06	3.3963947e-06	6.7785584e-07	1.3400878e-06	9.352073e-07	1.4431828e-06	1.9654105e-06
o	0.003481222	0.008536521	0.21508288	0.24157892	0.27983293	0.24625626	0.004233809	0.00016126916	0.00076689356	3.8442107e-05	2.0632442e-05	8.1871576e-07	2.797763e-07	1.9511631e-07	3.0803199e-07	6.292956e-07	7.950079e-06
k	0.0035763641	0.0024184529	0.019782705	0.07548665	0.4771083	0.36192426	0.049771566	0.00919933	0.00018914553	5.2300038e-05	0.00045616928	1.1626804e-05	1.1169074e-06	1.7059047e-05	1.4795559e-06	7.9047106e-07	2.6206267e-06
e	2.7409733e-05	0.0003318696	0.0039969	0.07866491	0.7053397	0.12901112	0.07698831	0.0023834961	0.003114808	0.000116912786	1.7770639e-05	3.4447426e-06	3.1413995e-07	1.975698e-06	4.0178884e-07	3.3489619e-07	3.6170772e-07
o	0.0007834849	0.00019562089	0.001318336	0.0071271798	0.11914503	0.67848796	0.12889671	0.062396724	0.0014143949	0.000113187205	0.00011093966	5.0014887e-06	4.5599285e-07	3.9257584e-06	4.2057093e-07	2.4094214e-07	2.9060286e-07
l	0.000515522	5.7730467e-05	0.0004442463	0.012753173	0.20976058	0.4674559	0.29528797	0.01077794	0.002823038	9.079125e-05	3.072449e-05	1.3869212e-06	1.5665441e-07	7.270701e-07	6.698898e-08	4.1260403e-08	3.6649077e-08
à	8.617077e-05	0.000164264	0.0010843633	0.035329103	0.1983064	0.3730193	0.30461416	0.014050627	0.06393377	0.008116206	0.0009925271	0.00016568202	3.6518744e-05	7.268661e-05	1.7770068e-05	5.3048916e-06	5.1945617e-06
d	0.00013673898	0.00010868211	0.00043107106	0.00221063	0.028216476	0.16476537	0.565232	0.23368089	0.0026660534	0.0018701638	0.0006700933	8.951169e-06	6.733825e-07	1.9981082e-06	1.0594303e-07	2.9508447e-08	4.181998e-08
r	0.0006293472	0.0001532297	0.0009947672	0.0074279658	0.042664435	0.106619954	0.47430748	0.04489336	0.3121062	0.00988949	0.00017893383	0.000100701356	1.2841308e-05	1.22209e-05	3.2996195e-06	2.775465e-06	2.9448663e-06
o	0.0010104821	0.00021827078	0.0059283595	0.0023162593	0.01696361	0.47597522	0.0611855	0.0043131174	0.3928854	0.03614826	0.002992374	4.5128243e-05	2.431028e-06	2.063476e-06	8.7407153e-07	9.20243e-07	1.1760264e-05
e	0.001498819	0.0005946258	0.0014458401	0.00045166092	0.007965689	0.21328168	0.358687	0.24418923	0.083421126	0.05505805	0.03170453	0.0011347096	9.958008e-05	0.00041389873	3.4080167e-05	9.881461e-06	9.582465e-06
m	0.00066030043	4.4941637e-05	0.00010178617	0.00010157023	0.0012800673	0.04678991	0.35327417	0.2930668	0.18891324	0.09436599	0.020065831	0.0011925437	5.964552e-05	7.280743e-05	7.4582676e-06	2.260052e-06	6.3766174e-07
b	8.754635e-05	4.2201867e-05	5.0893712e-05	0.00029467285	0.0015079619	0.014082323	0.20294033	0.022256382	0.34214795	0.38693833	0.019530294	0.0075272443	0.0019888873	0.0003607998	0.00012084173	7.107768e-05	5.220069e-05
ì	0.00047223337	0.000107982836	0.00091586134	0.00019897103	0.0025100512	0.013568582	0.0034450414	0.0020742938	0.6597536	0.21952465	0.08571773	0.010399583	0.0006380719	0.00015327986	0.00019085976	0.00027020293	5.896793e-05
k	0.00028036584	0.00041280908	0.0005526346	0.00063966616	0.018185128	0.018103022	0.070856534	0.71605164	0.12536377	0.04080404	0.0047433698	0.0035543533	0.00024392744	0.0001512453	1.626442e-05	2.9923374e-05	1.1376939e-05
e	0.018090256	0.0016411489	0.0015854207	0.00067445246	0.0028505	0.0023640953	0.0084012365	0.048485126	0.80713195	0.09274615	0.0051888996	0.006694656	0.0011433364	0.0001323346	0.00012301706	0.000709231	0.002038138
a	0.013326941	0.009875885	0.016160162	0.004191013	0.0053164316	0.024755577	0.020124156	0.032592896	0.0070255212	0.19856781	0.52482885	0.11132593	0.016634788	0.013449415	0.0013405948	0.00022924246	0.00025483046
p	0.002656953	0.00032924712	0.00067763054	0.00012795208	0.0002804073	0.0030120835	0.010191438	0.034442633	0.041085634	0.20737176	0.5324267	0.14290868	0.018850135	0.0053215153	0.00027032205	2.4358002e-05	2.2620516e-05
