 	è	che	sono	usciti	</S>
è	0.9951644	0.0046216813	0.00012948418	7.963372e-05	4.850235e-06
n	0.3813621	0.40768382	0.11721638	0.093676396	6.132356e-05
a	0.4018342	0.46051937	0.13722134	0.0003905364	3.4539327e-05
g	0.0070773563	0.10423827	0.8786792	0.009397893	0.00060731143
u	0.0019380653	0.65417576	0.33536273	0.008205914	0.00031752788
ì	0.00032016143	0.042900145	0.89683586	0.05140464	0.008539185
k	7.079447e-05	0.02605966	0.73110867	0.24156898	0.0011919028
a	0.00019815771	0.023724088	0.786364	0.18579839	0.003915356
n	0.008013422	0.017082382	0.0602875	0.8096071	0.10500952
e	8.48964e-05	0.0021635587	0.013728777	0.9286198	0.05540298
</S>	5.183251e-05	8.340414e-05	0.0012915509	0.05719541	0.94137776
