 	dopo	Giovanni	ritornò	la	sera	a	casa	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
d	0.99846965	0.0015084401	1.949605e-05	1.0236489e-06	6.538453e-08	1.1389169e-07	1.9036052e-07	4.3654902e-07	2.7240738e-08	3.1227475e-07	1.583577e-08	6.417518e-08	9.979687e-09	7.555006e-09	5.794227e-09	1.0700414e-08	3.5025668e-08
ò	0.64210296	0.34196454	0.010703149	0.003321987	0.00041230544	0.00017692141	0.0010887744	6.8188914e-05	5.179672e-06	0.0001227397	4.756626e-06	1.9550973e-05	1.712457e-06	1.4172446e-06	6.982248e-07	4.3545535e-07	4.6960604e-06
p	0.9515725	0.047281556	0.0011377459	5.262893e-06	3.2990137e-08	3.04505e-07	6.7086717e-07	1.6740894e-06	3.4466307e-08	2.3223386e-07	7.794971e-09	3.9622233e-08	3.2461316e-09	3.4780767e-09	1.6828771e-08	9.995738e-09	4.893542e-08
o	0.88590723	0.062071033	0.050265938	0.0009776423	0.0002774686	2.8320046e-05	0.0002430215	1.4503182e-05	5.9213394e-06	0.00019098184	4.0420136e-06	8.92043e-06	1.2334676e-06	5.953652e-07	4.1228336e-07	4.765325e-07	2.2229497e-06
G	0.3155887	0.4895859	0.19046631	0.0026198174	1.0305361e-05	0.00011871928	0.000909144	0.000541085	8.520718e-06	0.00011517427	1.9069437e-06	1.5595795e-05	5.471181e-07	7.4956404e-07	2.9350758e-06	1.8850596e-06	1.2557391e-05
i	0.0983708	0.6019326	0.29288775	0.005475191	0.0008165513	0.00014683194	0.00018261439	0.00013475622	1.2785863e-05	2.3764867e-05	3.5929029e-06	1.1620851e-05	4.6178928e-07	4.4138767e-07	1.2166196e-07	8.514881e-08	1.7625467e-07
o	0.02073396	0.8140726	0.16504367	0.0001425924	2.3817289e-07	1.1794355e-06	3.131364e-06	2.395498e-06	2.0561718e-08	1.1691432e-07	3.3506466e-09	2.0035358e-08	1.1369534e-09	1.3123322e-09	5.0103446e-09	5.3054805e-09	7.1295105e-08
v	0.0055566677	0.09487979	0.87458396	0.022988155	0.00023277705	0.00022621076	0.0007179241	0.0004771349	7.807319e-06	0.00031626143	1.3040225e-06	7.697061e-06	4.384555e-07	2.3784729e-07	4.832836e-07	9.605268e-07	2.0997488e-06
à	0.0013523817	0.113238774	0.84071743	0.03345931	0.009596905	0.00081361155	0.0004328032	0.0002412879	7.9199606e-05	9.174886e-06	8.75675e-06	4.3888474e-05	1.9954575e-06	2.7942729e-06	1.1129307e-06	3.995622e-07	2.0746278e-07
n	0.0005520633	0.009340452	0.9882345	0.0018348757	9.683585e-06	5.0378735e-06	1.9276262e-05	2.187692e-06	2.280832e-07	1.0594171e-06	7.964109e-08	2.8038718e-07	2.2715074e-08	2.5658087e-08	4.5327088e-08	3.983868e-08	4.4596025e-08
