 	ora	ho	finito	di	scrivere	</S>
à	0.99749845	0.0016676518	0.00082502805	3.5875657e-06	4.4813664e-06	8.28462e-07
r	0.71596074	0.21986653	0.06306928	0.0009773314	0.00011191838	1.4194062e-05
t	0.43961573	0.53442913	0.02567482	0.00024606433	3.3253596e-05	9.623549e-07
e	0.06131059	0.6202262	0.3179605	0.00033271324	7.4908436e-05	9.515273e-05
s	0.08064083	0.688894	0.21941692	0.010110304	0.0008788437	5.9087743e-05
p	0.010573125	0.4704916	0.5001722	0.018305609	0.0004527781	4.626482e-06
ì	0.0017874462	0.049168866	0.94550276	0.0033021874	0.00022931835	9.485349e-06
c	0.0024272655	0.08456342	0.87116426	0.0404579	0.0013461751	4.093162e-05
c	0.0017564155	0.050025772	0.6216852	0.31583688	0.01000985	0.0006859033
e	0.0007156648	0.0064493213	0.96839565	0.020244263	0.0033718436	0.0008233042
t	0.008087434	0.013078922	0.10798291	0.7366295	0.13106161	0.003159645
s	3.42955e-05	0.0012828816	0.034854636	0.9086888	0.054775186	0.00036414477
a	9.703988e-05	0.0011549165	0.12363646	0.760283	0.11145767	0.0033708743
t	0.00011371921	0.00022464499	0.0032328076	0.52175844	0.46973175	0.0049386043
s	1.3695382e-05	0.00024352537	0.010468803	0.726662	0.23240535	0.030206604
e	1.6550237e-05	0.00013689892	0.008066753	0.3360258	0.5632388	0.0925153
g	8.936993e-06	1.5951084e-05	0.00047028062	0.15357926	0.8151327	0.030792797
r	2.5236479e-05	0.0003635164	0.0061176224	0.46490005	0.45458302	0.0740106
à	2.3203407e-05	2.9376928e-05	0.007442215	0.13585225	0.5892796	0.26737338
t	1.3249742e-05	2.9415523e-05	0.00030606636	0.02983772	0.86199105	0.10782253
s	2.5445703e-05	0.000116017116	0.019975448	0.23275678	0.7123668	0.03475948
i	1.2548052e-05	1.7370296e-05	0.0007658297	0.0044504274	0.977462	0.01729183
</S>	1.14163595e-05	2.4983037e-05	0.00015744085	0.00046313554	0.17215765	0.8271854
