 	Valeria	legge	il	giornale	</S>
e	0.9993961	0.00052860356	2.1132117e-05	4.8847523e-05	5.3644185e-06
V	0.88194746	0.116769254	0.0010318569	0.00023674994	1.4708952e-05
a	0.8193726	0.17884722	0.00158703	0.00018588398	7.2008056e-06
l	0.73662996	0.2633509	1.7677043e-05	1.0269059e-06	4.826336e-07
è	0.18120822	0.81399614	0.0042136656	0.0004084326	0.0001734542
r	0.17352134	0.8256794	0.00079001265	7.826494e-06	1.3863004e-06
i	0.046831165	0.94880605	0.0040161624	0.00032494235	2.1639913e-05
a	0.1706565	0.67306536	0.121542886	0.03367725	0.0010580304
m	0.008181001	0.78312224	0.19930603	0.009225846	0.0001648437
e	0.0016481233	0.5028863	0.466124	0.016173467	0.013168159
l	0.0015487282	0.3661308	0.5165452	0.11454334	0.001231972
e	0.0015474325	0.11987399	0.79537314	0.06976715	0.013438348
t	0.0012673283	0.028491253	0.6276217	0.33927128	0.0033485144
à	0.0002070261	0.13878949	0.7434213	0.06868482	0.048897315
o	0.0008649455	0.032851335	0.62800086	0.3237756	0.014507281
g	0.0024286904	0.009449856	0.19000158	0.76158655	0.036533393
i	3.058965e-05	0.00789325	0.7064454	0.26019374	0.02543697
o	0.00035686197	0.00061153196	0.03128432	0.9270073	0.04073992
r	0.00041073837	0.0013732692	0.021903569	0.81115633	0.16515607
n	3.644019e-05	0.0010589637	0.21955313	0.5833999	0.19595158
à	1.0571638e-05	0.00033535503	0.037718326	0.7572562	0.20467953
l	1.1324321e-05	0.00012271544	0.015530005	0.87725127	0.10708461
e	6.8054826e-05	0.0003558424	0.008917139	0.78538734	0.20527168
</S>	0.0010470892	0.0013914567	0.0012988165	0.08595508	0.9103076
