 	l'	ha	scritta	</S>
t	0.99935514	0.0005938938	4.2658627e-05	8.358117e-06
o	0.99407345	0.005751497	0.00017404751	9.078137e-07
è	0.21231969	0.7852975	0.001968648	0.00041412687
g	0.04206926	0.9491045	0.007508016	0.001318232
r	0.10899158	0.8790441	0.011951214	1.3087272e-05
a	0.12511249	0.72660494	0.14484212	0.003440436
t	0.056165893	0.6501114	0.24523467	0.04848808
s	0.00011385934	0.084153466	0.9123537	0.0033790327
e	0.00030090744	0.054536954	0.86723363	0.07792845
</S>	0.00063719583	0.01102077	0.37215877	0.6161833
