 	se	aveva	visto	le	nuvole	le	nuvole	avrebbe	capito	che	stava	per	piovere	</S>
a	0.9430162	0.056440845	0.00052146433	9.337337e-06	7.54755e-06	5.4794583e-07	6.1232856e-07	3.2678133e-06	7.321491e-08	5.38528e-09	8.168166e-08	5.889549e-09	1.7885096e-08	6.0305176e-08
n	0.7758565	0.12230596	0.10026253	0.00047857786	0.0009788406	1.6553868e-05	1.634861e-05	7.703261e-05	2.3040607e-06	4.4578672e-07	2.9669036e-06	4.2728686e-07	5.768392e-07	9.927737e-07
ì	0.009424732	0.8569666	0.12690505	0.005082528	0.0006530375	0.00017342082	9.919621e-05	0.0006498641	3.110204e-05	3.2887885e-07	1.2930796e-05	5.2287106e-08	8.6077597e-07	2.1403005e-07
c	0.0072882655	0.94046813	0.051884513	0.00029072462	5.1446874e-05	2.0935354e-06	1.4966461e-06	1.2953746e-05	1.9262664e-07	1.2336872e-08	8.8148695e-08	4.993358e-09	1.0756471e-08	2.5244477e-08
h	0.0012385282	0.81655097	0.17978673	0.0022862004	0.00013039837	2.6552575e-06	8.559306e-07	3.3276644e-06	2.211973e-07	3.1343754e-09	5.507512e-08	1.2145999e-09	9.767988e-09	7.485178e-09
e	0.00063962524	0.8614778	0.13698936	0.0008846595	7.844955e-06	3.0395077e-07	9.6818866e-08	2.4861882e-07	2.7253337e-08	4.612811e-09	6.7566193e-09	2.9970424e-09	9.536888e-09	3.36862e-08
t	0.0047890344	0.20612316	0.7735396	0.014333174	0.0010166424	3.7086527e-05	2.3042223e-05	0.00013569673	1.3718019e-06	7.8185835e-08	9.5204615e-07	2.0274515e-08	3.3097123e-08	5.1856002e-08
o	1.4227192e-05	0.085777596	0.71196306	0.20008205	0.0020282024	6.9285416e-05	1.5948855e-05	4.771959e-05	1.355411e-06	8.3775715e-09	4.789293e-07	1.8541408e-09	1.9416346e-08	1.5463084e-09
r	0.0011940378	0.040918935	0.7008979	0.22803375	0.028482059	0.00018074556	5.9094167e-05	0.00023138706	1.195795e-06	1.9858739e-08	5.9736374e-07	5.209047e-09	2.6670763e-08	2.7064905e-07
ì	5.21099e-05	0.02745542	0.42184716	0.4906153	0.05711891	0.0017953919	0.00032099325	0.000710576	5.2956868e-05	8.895636e-07	2.9536448e-05	1.0279275e-07	5.770405e-07	1.1950412e-08
s	0.000517387	0.036771636	0.22254577	0.24943705	0.48792478	0.0024970062	0.00022935844	7.65716e-05	2.6651472e-07	1.5348496e-08	1.16494085e-07	1.7600014e-09	8.746444e-09	3.945613e-08
o	0.002425844	0.009135116	0.38988668	0.5529081	0.044954002	0.0005981943	4.9817492e-05	3.406585e-05	6.092487e-06	1.2234071e-07	1.0514146e-06	6.537194e-08	5.5082756e-07	2.2074713e-07
n	0.009179257	0.008147291	0.0037384315	0.18929006	0.7313165	0.017910235	0.00964527	0.030415125	0.00024027449	1.978607e-06	0.00010762703	4.4070913e-07	4.1656976e-06	3.2638552e-06
t	0.0010763777	0.0006569741	0.03455412	0.27749756	0.66081667	0.020024478	0.0029621664	0.002316215	5.9834154e-05	1.6635042e-06	2.9624205e-05	7.266335e-07	3.3538622e-06	1.7474214e-07
