 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a	0.9969823	0.0027196917	0.00014585505	1.9761259e-05	0.0001161961	8.950558e-06	4.4600492e-06	2.7246865e-06
n	0.9891657	0.0065955506	0.0021980419	4.8677222e-05	0.0019799394	1.1196529e-05	5.5188195e-07	2.7751187e-07
k	0.6299703	0.35852447	0.006687242	0.0016902997	2.4632609e-05	0.00044879707	0.0026326466	2.1660226e-05
ò	0.775372	0.10207742	0.0028820557	0.0047780583	0.00033104626	0.003631656	0.07289693	0.03803076
r	0.3089442	0.66150624	0.02701483	0.0009937821	0.0014797491	4.7964313e-05	7.836824e-06	5.389495e-06
a	0.349566	0.6419982	0.007997457	0.0004126858	1.0769747e-05	7.1002046e-06	5.3123786e-06	2.495222e-06
s	0.050596055	0.6098212	0.3008213	0.019372592	0.017837629	0.0013091615	0.0001408843	0.000101156205
t	0.0005601274	0.8347642	0.1372938	0.027300734	1.243429e-05	5.2636668e-05	1.59845e-05	5.5845174e-08
e	0.0069853365	0.5419491	0.27148166	0.17681575	0.0022822358	0.00038124656	9.027588e-05	1.4405772e-05
m	0.0015914735	0.12298383	0.8411965	0.03074062	0.0034677421	1.5994578e-05	2.8870234e-06	9.1027806e-07
a	0.0005900657	0.38049254	0.2832163	0.33146504	0.0009405729	0.0025876884	0.0005572808	0.00015051468
r	0.0002841226	0.035461985	0.781727	0.120607495	0.06153965	0.00037296384	5.546211e-06	1.1187537e-06
è	0.0016503085	0.02926556	0.20895813	0.7150612	0.0054026167	0.035641428	0.0038762304	0.00014453741
o	0.0005204313	0.014965633	0.27962965	0.6158788	0.08178384	0.0071776523	4.2281077e-05	1.6850383e-06
c	0.009580294	0.0055567524	0.23660125	0.51916784	0.18837735	0.037196986	0.0032923033	0.00022726554
e	0.0014588315	0.0019873455	0.03270109	0.49825776	0.02592169	0.4200932	0.016235508	0.003344519
e	0.00025798802	0.0011651815	0.092996724	0.36633575	0.18605314	0.32760426	0.02429398	0.0012930052
n	0.011611882	0.0016788311	0.0094193565	0.025574233	0.42502043	0.45741656	0.058532875	0.010745902
ì	0.0069965813	0.001806707	0.0050254846	0.04762012	0.022993747	0.74738246	0.1507368	0.017438188
n	0.00095669605	0.0018695685	0.005794974	0.024074849	0.02957808	0.6915825	0.24490345	0.0012398391
e	0.003311575	0.0011053906	0.006462501	0.026782975	0.028375058	0.7903605	0.12018337	0.02341861
p	0.013523807	0.015874727	0.011796259	0.0071255807	0.04676097	0.120539136	0.51536304	0.2690165
r	0.0008064305	0.00010892253	0.00017295437	0.0011860997	0.0014423046	0.220508	0.7152968	0.060478516
ò	4.0532705e-06	5.411465e-06	1.8618106e-05	0.00024268989	3.5251127e-05	0.027286539	0.9619277	0.010479725
n	0.00013087537	0.0001815495	0.0007406771	0.00076152675	0.005087362	0.15797375	0.5923742	0.24275008
t	0.0019321546	0.00031183142	0.0003846585	0.00046827356	0.006104059	0.06269278	0.37746975	0.55063653
o	0.000618454	0.00047247272	5.593899e-05	0.00020673135	5.7495705e-05	0.0021197773	0.94208604	0.0543831
</S>	0.00027883778	0.00036235678	0.00012796352	8.370615e-05	0.00020802605	0.0005220705	0.053673834	0.9447433
