 	vogliono	girate	</S>
t	0.974141	0.020355167	0.0055038757
è	0.9996666	0.00016893723	0.0001644096
l	0.99585897	0.0031148577	0.0010261738
u	0.99971706	0.00025743275	2.5540585e-05
n	0.5383801	0.21758471	0.24403518
e	0.91323364	0.07823069	0.008535615
v	0.028069353	0.43911856	0.5328121
o	0.05236478	0.69553745	0.2520978
t	0.0017958343	0.14770596	0.85049826
i	0.0047884444	0.46053976	0.5346718
m	0.0012549844	0.27727583	0.72146916
m	0.0015478715	0.7203037	0.27814844
è	0.05156209	0.6971931	0.2512448
n	0.0051435796	0.7579072	0.23694915
e	0.0072817393	0.9139211	0.07879713
</S>	0.0067421338	0.035513017	0.9577448
