 	voglio	che	Maria	è	di	venire	domani	</S>
t	0.993512	0.0061976705	0.00018443745	9.754056e-05	1.8167431e-06	1.989019e-06	2.4074754e-06	2.181689e-06
è	0.9568314	0.04113317	0.001991489	3.7542053e-05	2.5514914e-06	2.109453e-06	1.5840351e-06	1.8280505e-07
l	0.9626313	0.032728806	0.0029074117	0.0017238704	3.7554705e-06	2.1944209e-06	2.4065746e-06	2.3927623e-07
o	0.8968422	0.09925373	0.0038689966	2.8523074e-05	4.569663e-06	1.026374e-06	4.0384762e-07	5.4623234e-07
k	0.17706577	0.6565176	0.12682182	0.039124556	0.00036570427	3.2973356e-05	2.7252656e-05	4.4376975e-05
a	0.011127518	0.8227468	0.16568013	0.00040776312	2.8430139e-05	6.1992428e-06	2.5426093e-06	6.192799e-07
i	0.005173928	0.30812064	0.63390243	0.05277599	2.3923578e-05	8.3574696e-07	5.4665026e-07	1.6908203e-06
M	0.007188849	0.04006646	0.93957686	0.013011025	0.00011817255	2.6114927e-05	1.0827335e-05	1.5863881e-06
a	0.001509543	0.06487541	0.8866187	0.024772553	0.011177546	0.007569175	0.0011162334	0.002360861
r	0.0007642726	0.052945577	0.7352718	0.21063177	0.0003765106	6.1730216e-06	1.1507086e-06	2.7474086e-06
ì	0.0019907893	0.026753765	0.87066585	0.05999899	0.03570106	0.0039278823	0.00040311273	0.0005584659
a	0.00060550176	0.007528825	0.55317587	0.43090627	0.007682815	8.173249e-05	1.3386855e-05	5.6199287e-06
è	0.03474986	0.012747964	0.13861777	0.7020702	0.10918537	0.0018979092	0.00024730313	0.00048368098
n	0.0037738932	0.0012124978	0.031962257	0.8145032	0.14110766	0.0063463035	0.0010293078	6.4969376e-05
a	0.0027268121	0.0018311194	0.038237635	0.23173474	0.13846041	0.4860012	0.09959603	0.0014120043
r	0.08844491	0.036951873	0.029901814	0.18375725	0.5454229	0.07978881	0.01635265	0.019379742
t	4.8757152e-05	1.8143064e-05	0.00027622993	0.0020509085	0.45312682	0.37646118	0.15450671	0.013511273
i	5.6826907e-06	9.938398e-06	0.00034671204	0.00035065145	0.13240506	0.4249324	0.43515003	0.0067996015
à	0.00023722454	7.027716e-05	0.00022335825	0.01140003	0.34058312	0.19963637	0.09509874	0.35275087
v	0.0008620417	9.254259e-05	0.0020852976	0.0030037551	0.06276349	0.28281453	0.640568	0.007810316
v	2.4170029e-05	6.598487e-06	2.8689676e-05	0.0012133953	0.08168016	0.31785727	0.59427804	0.0049116127
r	0.0038846554	0.00017940668	2.3431723e-05	1.7966513e-05	0.018853877	0.111259036	0.6472836	0.21849793
i	0.00019541201	2.4202262e-05	1.631985e-05	7.546308e-05	0.15946577	0.31014976	0.4952716	0.034801524
</S>	0.00050147186	7.070096e-05	1.1056569e-05	4.227327e-05	0.0021453637	0.015676226	0.08562004	0.8959329
