 	non	ha	da	mangiare	</S>
e	0.8911649	0.10736993	0.00073748233	0.00065282005	7.490675e-05
n	0.53399694	0.4502771	0.014708655	0.0007667177	0.0002505978
è	0.14931722	0.80657566	0.037898052	0.0048203105	0.001388758
c	0.016931036	0.8535954	0.12826146	0.0010983343	0.000113764254
h	0.0006798016	0.5832032	0.3903071	0.025732191	7.773843e-05
i	6.565369e-05	0.31618094	0.6333254	0.050150238	0.00027778742
n	0.0003802254	0.016103795	0.91945475	0.054653652	0.009407582
a	3.2332373e-05	0.008161261	0.8877284	0.102874786	0.0012031834
f	0.0012297233	0.00094860455	0.036242973	0.70191395	0.2596647
à	1.0028197e-05	0.0011461827	0.26321343	0.634646	0.100984395
i	0.0007054862	0.0025568337	0.053912956	0.9096615	0.03316331
</S>	0.0007193848	0.00034567947	0.00028616816	0.07382919	0.9248195
