 	volevo	Maria	domani	di	venire	da	me	</S>
ì	0.9990644	0.000883785	3.653322e-05	4.657861e-06	2.8001577e-06	1.2342598e-06	6.0995294e-06	4.255813e-07
t	0.815759	0.17483006	0.0053825052	0.0017844512	0.0016741168	0.00025890817	0.00030684064	4.153296e-06
e	0.94993556	0.049286164	0.00065166305	0.00012400617	1.7542025e-06	7.1109355e-07	1.2799433e-07	6.526093e-08
l	0.20407344	0.76201665	0.028820079	0.0024721534	0.001748151	0.0003966152	0.0004373984	3.5473648e-05
a	0.06460093	0.88750035	0.04683174	0.0009871144	7.542533e-05	3.1955265e-06	1.207585e-06	8.348594e-08
e	0.011693593	0.9300847	0.054159537	0.0036013308	0.00027826047	9.0320886e-05	8.558573e-05	6.637282e-06
M	0.00045344714	0.29925546	0.68509865	0.013215047	0.0019531127	2.1840213e-05	1.968816e-06	4.605749e-07
a	0.00016549604	0.15035507	0.7076501	0.13700499	0.0046380907	0.00018009779	3.519864e-06	2.5411548e-06
r	0.0017013472	0.8800069	0.06312016	0.0519396	0.0028976488	0.0003185024	1.3053168e-05	2.7674657e-06
ì	0.00039827658	0.054536663	0.43915173	0.40782338	0.09492741	0.003055283	9.116876e-05	1.6201497e-05
a	0.0024514007	0.42231092	0.054087788	0.47643715	0.030694677	0.0133696515	0.0006418448	6.5478403e-06
à	0.014211484	0.010433562	0.049560707	0.6946411	0.1882698	0.040160764	0.0024712933	0.000251236
v	0.0014430166	0.001806216	0.024666995	0.27982947	0.6284588	0.0622059	0.001565385	2.4246718e-05
v	0.00013629031	0.0023821616	0.11945406	0.21801503	0.61860853	0.040393315	0.000969134	4.1451047e-05
r	0.022088565	0.0057279933	0.05012959	0.38231096	0.41777965	0.09896429	0.008799573	0.014199273
i	0.000306477	0.0032991723	0.20839554	0.55907404	0.18888131	0.0384056	0.0013408756	0.00029695395
n	0.0020805467	0.0006899216	0.0007910447	0.112454034	0.117399976	0.7449722	0.017307797	0.004304354
a	4.732177e-05	0.00018280403	0.003934702	0.05100162	0.637083	0.28336787	0.023928564	0.00045407697
r	0.00036241455	0.0002578586	4.4847886e-05	0.009176284	0.0140241105	0.6147537	0.32411328	0.03726755
t	2.6453308e-05	5.4046588e-05	0.00040631776	0.052093685	0.05673498	0.58715105	0.26506293	0.038470536
i	4.770049e-06	7.604492e-05	0.0066158567	0.061312173	0.12867753	0.1785715	0.47769397	0.14704815
s	1.8385954e-05	1.2801981e-05	5.332221e-05	0.0014826064	0.013894949	0.17633508	0.21573976	0.59246314
e	6.5783283e-06	6.754329e-05	0.00039375736	0.038200468	0.015863195	0.17470655	0.7326709	0.038091008
m	0.00017346125	5.164838e-05	8.816787e-06	0.0005173734	0.00048866257	0.07993137	0.70314455	0.21568415
è	3.6231962e-05	4.7955764e-05	1.6737464e-05	0.0009478527	0.0033970077	0.115577154	0.775635	0.10434209
n	6.760589e-05	4.088556e-05	9.257653e-07	0.0005336728	2.1675694e-05	0.010819915	0.9501393	0.038376085
a	1.565772e-05	1.9292745e-05	4.1854786e-05	0.0001736594	0.000517004	0.003110274	0.5694787	0.42664352
</S>	0.0003310902	0.00011247247	1.1415854e-05	0.00031513468	6.8550967e-06	0.00048946566	0.15700155	0.84173197
