 	mia	figlia	vuole	andare	</S>
i	0.99987304	9.83615e-05	9.530228e-06	1.728391e-05	1.7562797e-06
k	0.266507	0.7284168	0.0048379293	0.00023143383	6.827025e-06
i	0.97182536	0.024933618	0.0010835344	0.0021203824	3.7027447e-05
a	0.0073333266	0.9908082	0.0018548991	2.6987539e-06	9.289769e-07
t	0.0016851429	0.9955419	0.0027601637	1.1666305e-05	1.2033458e-06
è	0.006580184	0.92414844	0.065854646	0.002862137	0.0005545604
r	0.00045377514	0.9809076	0.018632896	4.4166163e-06	1.306537e-06
a	0.002322299	0.9848466	0.012759941	7.061058e-05	6.175643e-07
m	0.078499	0.2935945	0.6169019	0.009177577	0.0018270364
u	0.004643129	0.16236977	0.73423725	0.09426107	0.004488794
i	0.00042568773	0.053240817	0.9339373	0.007436048	0.0049601696
t	0.0040923664	0.008437058	0.90823567	0.07673389	0.0025010898
è	0.0004196194	0.0049116784	0.6176509	0.3037479	0.073269874
l	0.00093252014	0.015416855	0.6665016	0.30794805	0.009201002
i	0.001054283	0.031227412	0.38091788	0.579145	0.0076554674
n	0.033885784	0.007947648	0.024735121	0.7046621	0.22876942
a	0.00041019567	0.002182363	0.020888481	0.93532646	0.04119249
p	0.0010539071	0.00047418516	0.0036174962	0.62135386	0.3735006
à	4.6402896e-05	2.4691513e-05	0.004129616	0.9186181	0.077181235
i	1.9213749e-05	5.915396e-05	0.0011103047	0.9874356	0.011375789
</S>	0.004694218	0.0016970187	0.0007649599	0.043902658	0.9489411
