 	hai	già	mangiato	</S>
ì	0.99906677	0.000649806	0.00025511184	2.8354438e-05
s	0.38514492	0.44258937	0.17209722	0.00016850149
e	0.4518601	0.5445911	0.0035463942	2.430859e-06
g	0.07100403	0.8924526	0.03485149	0.0016918951
i	0.017465942	0.9409625	0.041550443	2.1099584e-05
à	0.012663797	0.91342264	0.06872185	0.0051916414
f	0.00418414	0.4458248	0.5279681	0.022022922
a	0.00021105814	0.23305789	0.7656241	0.0011069007
m	0.008471035	0.01348068	0.8285006	0.14954768
è	0.00027283886	0.012128751	0.94159937	0.045999143
n	5.6298622e-06	0.000823926	0.99751365	0.0016568436
a	7.530499e-05	0.0018648342	0.7776912	0.22036873
</S>	0.007971185	0.0039606644	0.13831337	0.84975475
