 	devo	pulire	l'	albero	</S>
è	0.9996966	0.00021097236	1.2860636e-05	7.556259e-05	4.109675e-06
n	0.5244219	0.4614481	0.008737776	0.00528012	0.000112160276
a	0.934809	0.059841525	0.0041218083	0.0012022236	2.5531845e-05
k	0.014918138	0.9689919	0.01527519	0.00034667487	0.0004681537
a	0.0025678743	0.9405999	0.051796086	0.0048382645	0.00019786897
t	0.0004465324	0.9415681	0.05679809	0.000937691	0.00024958744
à	0.00021916903	0.7346727	0.17778759	0.051193446	0.03612701
r	0.0006526873	0.8983588	0.093201324	0.0048286403	0.0029585399
o	9.31557e-05	0.5981397	0.3401561	0.06039522	0.0012159027
t	0.035937674	0.25707513	0.4780111	0.20204276	0.026933381
o	1.28699985e-05	0.09646919	0.40050858	0.43379912	0.069210224
n	0.00042148135	0.0294641	0.50831807	0.2963602	0.16543616
à	2.8031347e-05	0.015126863	0.25049788	0.5859762	0.14837107
r	0.00071228214	0.041966297	0.13431527	0.5372613	0.28574485
b	4.5597235e-06	0.0022604442	0.14483713	0.82844555	0.024452293
u	1.6498256e-05	0.0010784445	0.06000965	0.35875958	0.5801359
r	0.00010630142	0.00019787492	0.0047848555	0.5493738	0.44553718
o	4.59204e-06	0.00022061763	0.073162235	0.84103245	0.085580036
</S>	3.1148116e-05	4.6140867e-05	0.0012118585	0.2355771	0.76313376
