 	Marika	non	ha	mangiato	mai	un	rustico	</S>
e	0.87418985	0.12549838	0.00028761744	1.7145334e-05	2.6345126e-06	2.95734e-06	9.1512214e-07	4.916201e-07
M	0.88560873	0.096543096	0.015694354	0.0018944369	0.00015451992	0.000101119425	3.1154816e-06	6.0105674e-07
à	0.9640572	0.008948817	0.026343832	0.0005239326	4.8352143e-05	7.404124e-06	6.7923684e-05	2.5064637e-06
r	0.80802286	0.123892166	0.067755066	0.0003256223	2.997531e-06	1.0080644e-06	2.236227e-07	9.505841e-08
i	0.6462638	0.0063905385	0.3464635	0.0008551419	1.1709373e-05	4.175719e-06	1.0494263e-05	6.3423363e-07
k	0.12072699	0.64708775	0.18317649	0.04565455	0.0024247584	0.00085500616	6.111004e-05	1.3357522e-05
a	0.07004229	0.1405713	0.765896	0.022682503	0.0004937176	0.0001227955	0.00019032384	9.719577e-07
e	0.01447499	0.21348199	0.62776643	0.14310507	0.001015628	0.00014685169	7.4842837e-06	1.5651508e-06
n	0.008457382	0.18263912	0.38534704	0.41940027	0.0038850973	0.00014343241	0.00012366609	3.9420147e-06
è	0.0051537734	0.06823991	0.37497717	0.45113146	0.026729226	0.0024295691	0.07119088	0.00014793807
f	0.002258182	0.0057051615	0.10841761	0.86743724	0.01583178	0.00033886253	1.0899535e-05	3.1618325e-07
a	0.0014125546	0.008051246	0.17626138	0.77440304	0.03154414	0.0059441826	0.0023306753	5.2846623e-05
m	0.00561817	0.03520579	0.009938572	0.674264	0.2675053	0.0072434233	0.00021096053	1.3861958e-05
è	0.0013778197	0.002209608	0.015495018	0.2762482	0.30321243	0.019979822	0.37984455	0.001632533
n	0.00017642666	0.0037877285	0.005269044	0.54433626	0.40802702	0.038354415	4.6839225e-05	2.2941833e-06
a	0.0021447786	0.021069478	0.020378904	0.308976	0.3082564	0.2270702	0.101764195	0.0103400815
m	0.025463462	0.013560343	0.0093091475	0.052898988	0.6307796	0.2566394	0.011122937	0.00022608577
a	0.00061936677	0.00019819879	0.0013738868	0.028183566	0.47242704	0.20237264	0.28927314	0.005552135
i	7.7705714e-05	0.00036001723	0.00014553586	0.014288881	0.41470048	0.56686354	0.0033031825	0.00026065749
a	0.005460344	0.0033180749	0.0010941494	0.0046757786	0.09665109	0.5523039	0.324933	0.0115637155
r	0.008812721	0.002190223	0.003892315	0.007855576	0.11339799	0.80069166	0.059956368	0.0032031497
ù	0.000111891604	7.724468e-06	9.6591815e-05	0.00029176255	0.011745536	0.15383549	0.77035356	0.063557446
s	0.00017457681	9.462519e-05	0.00012661815	0.00032148886	0.0063829105	0.17402884	0.8018438	0.017027061
t	2.3624166e-06	1.699064e-07	2.4639548e-06	5.9779654e-06	0.00016969857	0.008027813	0.9829253	0.008866247
i	1.19095e-05	1.6073632e-07	7.660937e-06	3.1646723e-06	2.0066076e-05	0.00029022922	0.98757964	0.012087195
k	3.54711e-05	1.7415594e-05	2.000243e-05	1.8377945e-05	3.0133577e-05	0.00040815992	0.6826875	0.31678295
o	9.329341e-07	1.2230491e-07	3.4767986e-06	5.849251e-06	0.00021614345	0.025941445	0.9586151	0.015216949
</S>	7.950117e-05	4.8271246e-05	4.0924046e-05	3.6573343e-05	3.6888534e-05	0.00021661977	0.1862823	0.813259
