 	voi	avete	mai	mangiato	il	pasticciotto	</S>
e	0.9872323	0.012072544	0.00052971195	0.00012214501	4.838891e-06	2.2898945e-05	1.5365049e-05
s	0.82263386	0.15857656	0.017054945	0.0017201172	5.374707e-06	4.4536646e-06	4.6651576e-06
ì	0.82489616	0.17393982	0.0011325022	2.254379e-05	4.4832163e-06	4.254488e-06	2.9231342e-07
ì	0.9145314	0.08489173	0.00056573487	1.1121738e-05	3.909119e-08	1.8624792e-08	3.3204625e-08
s	0.7220113	0.26999915	0.0075866976	0.00040006352	1.0706771e-06	5.2987446e-07	1.2431423e-06
e	0.58975315	0.3996117	0.010571453	5.0560277e-05	7.5156377e-06	4.5775105e-06	9.565409e-07
s	0.0809953	0.66944134	0.2334402	0.01592456	8.876339e-05	6.247458e-05	4.7320023e-05
t	0.019138059	0.73148817	0.24763618	0.0017322812	4.0437367e-06	1.1349698e-06	7.75597e-08
a	0.045894586	0.53488684	0.40463012	0.014113276	0.00037294652	7.831278e-05	2.3987179e-05
f	0.0051767007	0.3292968	0.6593531	0.0061426787	2.0508405e-05	7.354726e-06	2.9026087e-06
a	0.010876446	0.30420214	0.62116086	0.05923912	0.00371058	0.00045220178	0.00035867072
m	0.00026737683	0.08505659	0.8549008	0.05926046	0.00048686648	2.4490955e-05	3.4572533e-06
è	0.0020078637	0.022466078	0.72830266	0.2287472	0.01486363	0.002178028	0.001434569
n	0.0002336731	0.009689459	0.5147181	0.47425836	0.0009791042	0.00011347695	7.773527e-06
a	0.0073007857	0.021549381	0.2533984	0.6398351	0.056373216	0.014251178	0.007292005
m	0.02730424	0.020275617	0.07799099	0.6931342	0.1254928	0.052964404	0.0028378156
a	0.0010619514	0.0016597344	0.03752211	0.5709695	0.29022768	0.08257711	0.01598196
i	6.653461e-05	0.0003566849	0.017994104	0.69922656	0.090531394	0.18131602	0.010508753
i	0.0029252267	0.0011020167	0.0014238956	0.051312126	0.4068047	0.49486536	0.04156657
l	0.0024962747	0.0009353334	0.0019909318	0.07722387	0.5413796	0.36168566	0.014288345
p	0.0005361766	0.00020793482	0.0006145563	0.03251679	0.18086663	0.5149316	0.2703263
a	0.00034137242	7.051518e-05	0.00015356531	0.0025429712	0.20835961	0.3789233	0.4096087
s	4.415494e-05	3.2236614e-05	3.699141e-05	0.0003876123	0.0030442092	0.5224666	0.47398818
t	4.3148433e-05	1.7596334e-05	9.351454e-05	0.006529495	0.24394892	0.5695561	0.17981115
i	2.4544615e-05	5.981322e-06	2.609389e-05	0.001180155	0.29559544	0.55832374	0.14484407
c	7.713563e-05	2.3324852e-05	2.5981897e-05	0.0005290532	0.037004065	0.6764007	0.28593966
c	1.624038e-05	8.517831e-06	3.8937247e-05	0.0031700865	0.17525308	0.6052794	0.21623372
i	5.808178e-05	2.3100692e-05	3.2549557e-05	0.00082371396	0.07734311	0.43954968	0.48216975
ò	4.7815804e-05	3.773091e-05	2.2621918e-05	8.0797705e-05	0.0016433824	0.23459116	0.7635765
t	0.0002802459	0.00013744098	0.00011155144	0.0002441867	0.0023180905	0.5245397	0.47236878
t	4.4667133e-05	1.7836932e-05	1.3927895e-05	0.0002506633	0.029549582	0.9149801	0.055143166
o	0.00078751036	6.2155035e-05	1.5804366e-05	2.54546e-05	0.013728512	0.6674995	0.31788105
</S>	0.000105455256	1.886832e-05	1.0870417e-05	1.4587556e-05	0.00017041242	0.07703086	0.92264897
