 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
i	0.9877446	0.012205692	2.9503244e-05	5.630417e-06	5.467387e-06	7.3585693e-06	1.3892947e-06	3.421653e-07	4.839828e-08	2.1947113e-08	8.360623e-08
m	0.7585778	0.2218476	0.00786507	0.0011987744	0.0041784137	0.006134664	0.00016719752	2.6324977e-05	2.236503e-06	6.957536e-07	1.1535543e-06
à	0.8161912	0.09130736	0.076386936	0.010155532	0.0030621823	2.4757168e-05	0.0026838884	0.00013527923	2.5744192e-05	2.6110032e-05	1.0759695e-06
n	0.105441995	0.8754593	0.017378785	0.001365027	0.000101034646	0.0002519271	1.5221187e-06	2.5769887e-07	2.4319537e-08	4.3500958e-08	1.0586881e-07
a	0.17069814	0.6653325	0.15182193	0.009722994	0.001960185	5.2688197e-06	0.0003054113	1.3015394e-05	4.321973e-06	0.000117244614	1.9060202e-05
m	0.050207615	0.4924182	0.33986393	0.07258218	0.030141495	0.008246095	0.0062502567	0.00024034377	2.2549104e-05	1.9014271e-05	8.319118e-06
u	0.03089717	0.110928856	0.7111007	0.1251496	0.013639843	6.846366e-05	0.0064556696	0.0014123803	0.00024539628	8.693928e-05	1.4986753e-05
c	0.0058800434	0.10674377	0.46582317	0.3328042	0.076414704	0.012019203	0.0003072315	6.8779323e-06	3.3250228e-07	1.6384381e-07	2.9425217e-07
e	0.0015035995	0.010244841	0.49019223	0.42222652	0.07109231	0.00032559168	0.003579049	0.00064520916	0.00013471926	4.9611423e-05	6.2794043e-06
o	0.002128139	0.04116187	0.3436431	0.42165434	0.1600601	0.030975018	0.00037099828	5.9332697e-06	1.8065369e-07	1.524504e-07	1.4482994e-07
c	0.007889983	0.0013942893	0.014379823	0.8179172	0.14744942	0.0077445004	0.0029802122	0.00020866893	1.51368295e-05	1.961317e-05	1.0935403e-06
i	0.0019487042	0.0008337947	0.041403115	0.15181085	0.69183767	0.030678	0.06611443	0.013746421	0.0011511114	0.00036060542	0.000115306095
ù	0.00046998248	0.0017002883	0.033431623	0.10947046	0.7295779	0.11753172	0.0077411304	7.5495715e-05	9.215236e-07	3.3567667e-07	1.3800403e-07
r	0.013164531	0.0024686193	0.008373857	0.06691655	0.5614553	0.33106965	0.01585284	0.0006062066	4.1756968e-05	3.784048e-05	1.286223e-05
i	0.0014033725	0.0008710091	0.10709867	0.2525165	0.6236049	0.004410922	0.008910138	0.0011343006	2.907076e-05	1.9762696e-05	1.4326921e-06
m	0.030003492	0.0062224558	0.0075268378	0.04458037	0.5667437	0.20282143	0.11840882	0.022512933	0.00080493186	0.00036340978	1.1596701e-05
u	0.007201788	0.00097482983	0.017954437	0.19738206	0.16528797	0.097901955	0.29965255	0.20236716	0.010100744	0.0009635674	0.00021292108
e	0.00023606904	0.00013010087	0.000407678	0.007969048	0.22068426	0.04727076	0.55720377	0.16564655	0.00042089415	2.758132e-05	3.1737898e-06
p	0.0154955685	0.00035992524	0.0007384585	0.012992665	0.12521432	0.23432973	0.21336657	0.3915046	0.0048736217	0.0011097009	1.4893517e-05
ì	0.00070648134	2.723353e-05	0.0005233023	0.007703443	0.012518789	0.0116781015	0.40861169	0.5426737	0.014059637	0.0013259518	0.00017171132
t	6.1317245e-05	3.5327845e-05	0.00010056579	0.0012341595	0.015887119	0.0044328375	0.5726876	0.40180367	0.0037471654	9.3777635e-06	9.0579454e-07
t	0.000807981	2.3616853e-05	0.00058480457	0.011579545	0.010503754	0.006645269	0.34159192	0.605588	0.02237668	0.00023707037	6.135035e-05
a	0.012400776	2.1732201e-05	0.0018394424	0.056571458	0.002558341	0.0008460269	0.8422176	0.076486014	0.006248157	0.0005017936	0.00030866236
n	0.0053999126	0.00086614117	0.0015436647	0.0044381605	0.007220178	0.020372381	0.05185751	0.7916912	0.101690546	0.01389969	0.0010205813
e	1.2208708e-05	1.7211398e-06	2.5842111e-05	0.00013546667	0.00049736997	0.001309792	0.11745705	0.7090771	0.17015707	0.0012575693	6.866498e-05
m	0.00076796644	6.3763844e-05	0.00011879267	0.00047388018	0.00042876927	0.0027191069	0.013664708	0.6819491	0.2759565	0.022917854	0.0009395512
à	5.035866e-05	7.1499826e-06	2.0226998e-05	8.845733e-05	0.00064806046	0.0056948964	0.06901515	0.64293784	0.27203795	0.0059435777	0.0035564213
i	3.5538436e-05	3.1424144e-05	3.0779633e-05	0.000117307995	0.0010432241	0.0008242542	0.0065966756	0.35424206	0.61931336	0.014784161	0.0029811584
s	0.016180359	0.0009732809	0.0015299654	0.0037826693	0.0007362143	0.0031255214	0.0041110795	0.0635612	0.5409662	0.32257715	0.042456347
i	1.3517182e-05	6.221783e-07	1.0215008e-05	2.076343e-05	1.4871936e-05	0.00019919658	0.010531928	0.10518483	0.7946029	0.08461823	0.0048029963
n	0.0002503123	4.9863596e-05	0.000101525286	0.00012869076	7.6797725e-05	8.5738466e-05	0.0006002376	0.011600858	0.541895	0.43453586	0.010675225
G	2.9553732e-05	3.833138e-06	1.6869364e-05	2.3655277e-05	2.0541871e-05	0.00016077506	0.0024520752	0.041728176	0.6898528	0.2343554	0.031356316
r	0.0008993677	8.319917e-06	0.00012790633	0.00043370877	6.6376774e-06	7.979696e-06	7.457829e-05	0.00042226567	0.031362124	0.81880206	0.14785507
è	0.00053324807	1.191881e-05	0.00018538696	0.0005716793	6.893701e-05	0.00017887296	0.0016605837	0.010550849	0.49475414	0.4218841	0.06960029
c	0.00076360616	0.0002060682	0.0005576081	0.0003960271	0.00022206848	0.0048482595	0.000517358	0.0067357784	0.5947332	0.29894826	0.09207179
