 	non	deve	magniare	la	sera	</S>
e	0.74308074	0.25646165	0.00034805294	6.386297e-05	2.7911696e-05	1.7841761e-05
n	0.74948645	0.19443564	0.053434134	0.0024413671	0.00015286574	4.95929e-05
è	0.3845518	0.5782492	0.0087191705	0.013410794	0.014146808	0.0009222757
n	0.045442462	0.65453345	0.2967119	0.0032418242	3.8380218e-05	3.2018153e-05
a	0.006207757	0.934583	0.049082376	0.007001159	0.0031029254	2.282279e-05
f	0.026094232	0.085101545	0.85459477	0.032858375	0.0001982128	0.0011527899
à	0.001748747	0.014839336	0.4407157	0.3117064	0.21610862	0.014881271
i	0.0006382269	0.008521118	0.82899797	0.16170527	0.00011230598	2.5173007e-05
t	0.028389081	0.015212694	0.27693352	0.64584374	0.008075761	0.025545148
o	8.201251e-06	4.0261933e-05	0.044276457	0.62876475	0.31704593	0.009864392
v	0.00028744308	0.0006147483	0.0972707	0.8470532	0.028871704	0.025902193
r	1.3331017e-05	1.0911363e-05	0.0021752226	0.20676117	0.73241216	0.058627263
à	1.4310996e-06	1.9948926e-05	0.002895027	0.13288763	0.8607477	0.0034483287
i	7.354133e-05	0.0003639857	0.023024214	0.89972407	0.06775924	0.009054939
</S>	0.0027999945	0.00034633232	0.00056755287	0.0058846297	0.05811341	0.9322881
