 	se	la	pasta	voleva	sale	lo	avevo	messo	</S>
s	0.9793018	0.01958455	0.0010347429	6.836308e-05	5.162346e-06	5.3881035e-07	3.9432184e-06	6.7457427e-07	3.3272792e-07
e	0.20735571	0.76853186	0.01984572	0.0041014794	0.00016206465	2.4412639e-06	7.5742815e-07	2.513601e-08	1.70082e-08
t	0.34957966	0.55946535	0.08764148	0.0027511832	0.0004326242	9.5883515e-06	0.00011650898	2.3756477e-06	1.1791709e-06
i	0.01097207	0.88976556	0.07077939	0.027617892	0.00080386596	4.4955264e-05	1.5662994e-05	5.2336696e-07	5.4523863e-08
p	0.04021238	0.6129987	0.34022406	0.0064586517	9.9126904e-05	1.371444e-06	5.278483e-06	1.2958635e-07	2.7988438e-07
à	0.00056706596	0.40285563	0.18614936	0.40168208	0.008039937	0.0005623344	0.0001259066	1.4123488e-05	3.6461236e-06
s	0.018424777	0.18617897	0.48911044	0.30487782	0.0013753633	2.0909429e-05	1.1127164e-05	9.002772e-08	4.3055587e-07
t	0.0022134818	0.13652064	0.51194435	0.34583676	0.0034307686	5.2681025e-05	1.1487142e-06	9.884802e-08	6.4781304e-08
a	0.0024024514	0.05972301	0.8339853	0.101958126	0.001920183	8.289804e-06	3.9088917e-07	2.185827e-07	2.031998e-06
ì	0.028173778	0.08220133	0.066075414	0.77573866	0.044902675	0.0014987609	0.0013768246	2.0465188e-05	1.2086626e-05
t	0.008421833	0.014907159	0.08462939	0.6736689	0.21743673	0.00084833906	8.4639105e-05	1.3221896e-06	1.7484357e-06
e	0.00011675694	0.003676623	0.008732966	0.7420279	0.24412586	0.0013068703	1.25364995e-05	3.7328186e-07	1.8679702e-07
l	0.03311188	0.049889367	0.005836596	0.17559215	0.58701897	0.13102749	0.017072143	0.00039314036	5.823263e-05
e	6.227372e-05	0.0012069411	0.0031039186	0.27098355	0.696722	0.02755786	0.0003514419	1.1119647e-05	7.905019e-07
à	0.0010212465	0.0015735881	0.0003476723	0.030402832	0.5652395	0.39604017	0.0053264243	3.978132e-05	8.8050765e-06
l	0.0017838039	0.00056319375	0.0030432625	0.015172486	0.8914199	0.08706302	0.00093600893	7.3947085e-06	1.1073113e-05
a	7.145796e-05	0.0005187069	0.0009313189	0.058888316	0.85122347	0.08680201	0.0015392606	2.29464e-05	2.5722866e-06
t	0.030397044	0.028917355	0.0017214348	0.012984456	0.02115819	0.48527712	0.41179043	0.0073314914	0.00042239903
o	2.5225027e-05	5.4098608e-05	0.00016078462	0.0017637924	0.14350136	0.79978806	0.05204352	0.0025453921	0.000117830146
n	0.0001299342	0.0001166717	7.057386e-06	0.00040393963	0.006198468	0.24401647	0.7457112	0.0032061487	0.00021017116
ì	0.0005194684	0.0002881494	0.00076449005	0.0016817683	0.056379054	0.75688285	0.1614704	0.017907532	0.0041062837
c	7.931678e-05	6.151612e-05	1.3885795e-05	0.00011304764	0.00035656197	0.047929395	0.9259966	0.025154026	0.00029565638
h	0.00054143276	0.00020724766	4.362897e-05	0.00042315756	0.012576911	0.0830857	0.5594639	0.34009922	0.0035587645
a	0.0046862783	0.0053371782	0.0002598283	0.0018922416	0.01908503	0.37727344	0.41288564	0.1354016	0.043178838
v	0.005306041	0.0010701552	0.0001835099	0.00038384137	0.00030549752	0.011086714	0.15112506	0.35611627	0.47442293
à	7.576083e-05	9.2084534e-05	3.900447e-05	8.10507e-05	0.0015211819	0.020101147	0.21057357	0.7316311	0.035885125
l	1.046732e-05	1.5213544e-05	1.4662787e-06	6.654176e-06	1.6912929e-05	0.00067865895	0.08630827	0.9072273	0.0057349214
o	0.00062880927	0.0006950646	1.6351965e-05	0.0001233227	0.00012287061	0.001135459	0.062306438	0.659476	0.27549574
n	0.0015171025	0.0024857293	0.00016803412	0.0010952082	5.4761455e-05	0.0013735862	0.006730255	0.2926924	0.693883
t	0.0006704641	0.00010040273	4.8694223e-05	4.8428672e-05	7.6931094e-05	0.00029419397	0.014052434	0.8454226	0.13928583
a	0.00030807202	0.00012620055	1.8030483e-05	4.7812242e-05	6.4220585e-05	0.0016073255	0.016988184	0.5025152	0.47832498
</S>	5.5532786e-05	6.443661e-05	1.8822167e-06	1.9604679e-05	3.061591e-06	4.984074e-05	0.0013401947	0.14377958	0.8546859
