 	i	bambini	non	si	vestono	da	soli	</S>
t	0.9955059	0.0044425116	4.8333688e-05	1.8881095e-06	9.006975e-07	1.1866388e-07	8.387769e-08	1.3112866e-07
a	0.919345	0.08062474	1.9929507e-06	2.536083e-05	2.7810224e-06	5.5080157e-08	8.168487e-08	5.4014784e-09
p	0.49418393	0.4888811	0.016644727	0.00016538877	0.00012010954	2.589943e-06	6.933953e-07	1.4734663e-06
e	0.031305898	0.9680873	8.56682e-05	0.0004899715	2.2440381e-05	6.276924e-06	2.2529746e-06	3.1336288e-07
t	0.05675525	0.919421	0.02367344	0.0001466305	3.611121e-06	2.3202489e-08	9.849469e-09	4.255626e-08
ì	0.0007323153	0.9785832	0.010493239	0.0094993	0.0006813834	9.396149e-06	1.0346893e-06	1.6715657e-07
a	0.0011459062	0.97240573	0.024847843	0.0015519116	4.8419715e-05	1.1525086e-07	1.3713795e-08	1.848225e-08
e	0.03497874	0.13193719	0.6638551	0.16658854	0.0024311852	5.2959906e-05	0.00012853944	2.7844875e-05
n	0.010303486	0.018239	0.617999	0.34202525	0.011345692	3.3077267e-05	4.9946186e-05	4.5158026e-06
i	0.006490522	0.011005853	0.15080278	0.6833465	0.13891907	0.007603503	0.0014731355	0.0003586598
n	0.0040447707	0.014322247	0.4255216	0.5126778	0.04322866	0.00016417331	3.6015797e-05	4.696694e-06
d	0.0052023055	0.0078002037	0.15245165	0.48036236	0.32890186	0.017620392	0.004574003	0.0030871872
ì	0.13502339	0.10318414	0.017322604	0.36426878	0.2439168	0.016666174	0.10639602	0.013222112
n	0.0043803486	0.016919846	0.08485056	0.1544006	0.7359598	0.0026474611	0.0007733662	6.7947236e-05
n	0.013960243	0.001100338	0.15421657	0.012652626	0.77352446	0.0098476475	0.0081326775	0.026565481
o	0.46114364	0.12918541	0.01867711	0.26121718	0.11294616	0.0052234465	0.0015154697	0.010091538
t	0.08668613	0.10599706	0.15692116	0.22297443	0.36413518	0.0439997	0.01714253	0.0021437556
t	8.642262e-05	0.0001629603	0.0012928497	0.17420353	0.22347134	0.5947279	0.005676616	0.00037832864
e	0.00018231192	0.0019966634	0.001224487	0.36511207	0.1691119	0.40254435	0.05289688	0.0069313254
m	0.0065447506	0.0010792331	0.04095509	0.053860273	0.4679859	0.31054878	0.10995488	0.009071152
a	9.684418e-05	0.00063698314	0.0073733097	0.1082811	0.09444103	0.7425005	0.025954051	0.020716244
n	0.00081242836	0.00017059446	0.012387333	0.010544889	0.16317578	0.35032138	0.43100908	0.03157854
e	0.0006883301	0.0007665027	0.00061533804	0.0049634217	0.07860198	0.8294066	0.051643897	0.03331399
c	0.0016327748	0.00053540175	0.0004107662	0.0007288883	0.0025242986	0.09344254	0.8565056	0.044219792
h	2.6168622e-05	6.869134e-05	0.0003247517	0.0018241606	0.026644485	0.70335543	0.15629785	0.111458525
à	0.0007581597	0.0002309636	0.00066077366	0.0048287115	0.0121225165	0.19462678	0.46667436	0.32009766
t	0.00029980097	0.00019309693	0.004969517	0.002388834	0.014173344	0.5348207	0.31033948	0.13281518
u	0.0024523153	0.0002628599	0.00019143545	0.0020332558	0.0064458745	0.3579304	0.37882	0.2518638
</S>	0.01188416	0.013468991	0.0004147301	0.0013408716	0.0002020421	0.011184901	0.24816316	0.7133412
