 	vengono	vestiti	</S>
è	0.99086785	0.006086251	0.003045804
r	0.97775763	0.021918116	0.0003242534
k	0.96836096	0.031610597	2.8340703e-05
u	0.87097514	0.12305563	0.0059692096
t	0.9657765	0.032713104	0.0015104022
t	0.0042148326	0.99413246	0.0016526848
e	0.009325561	0.98887795	0.0017965267
n	0.030274235	0.7663072	0.20341857
d	0.00026459212	0.98632973	0.013405719
i	0.043194506	0.6943671	0.26243842
m	0.00047008874	0.39844376	0.60108614
è	0.0005202016	0.9174428	0.082037054
n	0.0006479008	0.9570912	0.042260792
a	0.013900037	0.23202747	0.7540725
</S>	0.011210692	0.011911974	0.97687733
