 	deve	che	entra	da	qui	</S>
è	0.9984628	0.0014386126	9.0914444e-05	2.799443e-06	2.586949e-06	2.0875998e-06
n	0.5312362	0.44963428	0.0032640859	0.01555234	0.00025827927	5.493401e-05
g	0.73684907	0.14901157	0.10776218	0.004766847	0.0015986584	1.1656976e-05
h	0.0025360878	0.09198909	0.89386755	0.011199053	0.00024002485	0.0001681217
i	0.002107448	0.04166351	0.95084697	0.0053092455	6.528173e-05	7.587441e-06
s	0.0024991094	0.435788	0.5392941	0.017095024	0.0044613346	0.0008623995
e	4.6053992e-05	0.2901743	0.20225619	0.506255	0.0012647636	3.7420764e-06
n	0.00043235594	0.2619401	0.30748293	0.42321435	0.004623208	0.0023070408
a	8.5955064e-05	0.11507079	0.04033944	0.8303321	0.013377864	0.0007937442
m	0.0007392894	0.050983675	0.039895445	0.79714984	0.0909842	0.020247491
b	3.1306055e-05	0.0048884614	0.0012777037	0.7901071	0.10651778	0.09717765
i	4.6627574e-05	0.014003282	0.01976524	0.5858261	0.3483207	0.032038044
a	0.00067837816	0.005793082	0.00058706716	0.09372691	0.3933066	0.50590795
p	0.00025436515	0.00032028786	0.0005025379	0.0036582607	0.40395096	0.5913136
ò	7.1053696e-06	0.00015912345	0.00013278762	0.03283396	0.6594412	0.30742586
t	5.0307906e-05	0.00016453974	5.3469914e-05	0.007083951	0.9712412	0.021406464
t	3.6214549e-06	9.0272646e-05	4.672117e-05	0.024481267	0.90907294	0.066305175
ù	9.394852e-07	1.6727376e-05	0.0010845198	0.0004884853	0.93095887	0.067450464
</S>	0.00016601122	0.00011663506	0.007041686	0.0005158263	0.4020891	0.5900707
