 	dove	aveva	per	stare	non	aveva	</S>
p	0.995368	0.004610319	8.502833e-06	1.111376e-06	9.424488e-06	2.4028514e-06	3.4168912e-07
u	0.80335945	0.19053584	0.0005459447	0.0035153017	1.000443e-05	0.0020302269	3.381595e-06
ì	0.06174611	0.9317849	0.004172258	0.00013156622	0.002150412	5.7441002e-06	8.926586e-06
c	0.01194349	0.9637688	0.011313354	0.0021059308	0.010848009	7.753761e-06	1.2610562e-05
h	0.0041542384	0.95905167	0.023552977	0.013059561	6.016006e-06	0.0001677987	7.6071924e-06
e	0.0077915667	0.96637994	0.015833175	0.009799987	4.3202075e-05	0.00013663902	1.5526308e-05
n	0.0017489711	0.22810683	0.7025868	0.06258494	0.003895891	0.0009766757	9.989181e-05
a	0.0009639636	0.023701204	0.7428812	0.2253177	3.9218903e-05	0.007078292	1.8456078e-05
s	0.0050057466	0.0067844754	0.2791381	0.62008566	0.08085879	0.006882462	0.0012448404
t	0.00020544804	0.011115689	0.39903754	0.54331195	0.0010849633	0.044363853	0.00088061235
a	0.00020642961	0.013713134	0.35644364	0.33525106	0.0041464358	0.2808183	0.0094209
s	0.00047798606	0.0020663105	0.2220792	0.43716916	0.08633134	0.24088383	0.010992238
ì	0.00042421586	0.042569816	0.18353805	0.29320684	0.013435225	0.40470684	0.06211905
e	0.00024878272	0.0007286611	0.0066511487	0.13158792	0.6824111	0.1173707	0.061001755
n	0.0040927064	0.006211399	0.004994787	0.042542312	0.50435245	0.25645387	0.18135244
ì	0.00023765054	0.0005086085	0.0017251885	0.08973861	0.020835351	0.82118094	0.06577374
c	0.00016934353	0.00038432147	6.863467e-05	0.008295843	0.042626567	0.90005463	0.0484007
h	3.9978244e-05	4.5450237e-05	9.480758e-05	0.0037680613	0.007833261	0.97143495	0.016783467
e	1.5420337e-05	1.1849992e-05	7.5549465e-06	0.0010499664	4.005526e-05	0.9950695	0.0038056304
</S>	0.0002186919	0.00021542009	1.0024067e-05	0.00048057028	0.005924576	0.045449004	0.9477017
