 	l'	ho	sentito	quando	veniva	</S>
t	0.98949146	0.01038274	9.109764e-05	2.7228625e-06	3.0055742e-05	1.8546611e-06
o	0.9238836	0.07594432	0.00013305774	2.3356091e-05	1.5300655e-05	3.9777817e-07
n	0.06411472	0.26830015	0.662823	0.0009273862	0.0037559771	7.875497e-05
ì	0.23715255	0.74057573	0.019486811	0.0020913824	1.30093185e-05	0.00068057043
k	0.0028498245	0.038870104	0.94025654	0.016354831	0.0016497971	1.8807137e-05
u	0.0036445018	0.057066277	0.9282505	0.010753055	0.00027988342	5.9153244e-06
s	0.041985597	0.12321659	0.6117582	0.121945195	0.09610517	0.0049893428
a	0.00097591657	0.025465919	0.11337811	0.85995984	0.00018430929	3.5865894e-05
m	0.006196917	0.009801933	0.49879086	0.3537426	0.12755632	0.003911285
ò	9.163947e-05	0.00059285475	0.013009519	0.9655365	0.0006126776	0.020156851
t	1.5563475e-05	0.00015646241	0.019651415	0.7835168	0.1961759	0.0004837227
t	0.00014490374	0.00014359124	0.041512158	0.91927505	0.031365454	0.0075588734
e	0.006374499	0.0007517204	0.009339983	0.7743406	0.1733952	0.03579789
è	0.012746562	0.002311188	0.00079132593	0.07214168	0.58601904	0.32599023
r	0.00018329783	0.00010403298	0.0001775723	0.02800019	0.935437	0.03609791
k	3.3313358e-05	2.2360031e-05	0.00037690584	0.65175587	0.29758057	0.050230995
a	0.00549052	0.00037179337	0.00028434288	0.06887555	0.19738305	0.7275947
t	0.00020260198	9.852369e-05	0.00024413224	0.0031760782	0.5972597	0.3990189
o	3.7892227e-05	3.0532046e-05	2.1282489e-05	0.38069677	0.09766283	0.52155066
</S>	6.239017e-05	7.1286577e-06	2.392457e-05	0.00015059128	0.3078049	0.6919511
