 	sta	seduta	nel	giardino	</S>
s	0.999721	0.00021402094	3.5750665e-05	2.3157594e-05	6.113348e-06
t	0.9945209	0.0053499346	1.98638e-05	0.00010871617	4.906366e-07
è	0.9117813	0.08275635	0.0033321464	0.0018599095	0.00027022784
i	0.123596065	0.8701613	0.005756216	0.00017839979	0.00030793427
k	0.008354521	0.9889037	0.0026006363	3.7950125e-05	0.00010320598
a	0.34168905	0.6442224	0.004639222	0.009090408	0.0003588482
s	0.0019089216	0.9101677	0.08732953	0.00030618615	0.00028761235
i	0.020799635	0.49144354	0.21973664	0.25606847	0.0119515965
m	0.0026723533	0.2712918	0.704297	0.014390881	0.0073479842
m	0.0027237742	0.03410496	0.42267707	0.2654284	0.27506587
è	0.0034838931	0.2338285	0.0899644	0.63156193	0.041161235
n	0.00020459511	0.10889514	0.84746176	0.041382734	0.0020557558
i	0.0013809694	0.52950317	0.2601832	0.121375725	0.08755699
s	0.03148606	0.011787366	0.063582435	0.6912842	0.20186001
t	5.187707e-05	0.00017909413	0.0887056	0.8875735	0.023489855
o	0.00010236357	7.662583e-05	0.0053734025	0.8741404	0.120307215
n	0.00032897954	0.0004269933	0.008422547	0.68188196	0.30893958
g	6.276718e-05	0.0001812187	0.3913826	0.54297894	0.06539449
h	3.1637945e-05	2.6904476e-05	0.0055585667	0.92279625	0.07158667
i	1.7257702e-05	3.7311598e-05	0.042178232	0.89695656	0.06081055
a	0.00012792026	0.00017304029	0.0030144546	0.32958022	0.66710436
r	0.00034338117	0.0005498732	0.0015113708	0.6343956	0.3631998
d	3.3878543e-05	1.1063989e-05	0.016862279	0.91528976	0.067803055
ì	0.00013225363	0.00044446808	0.0018797937	0.75564986	0.24189362
n	6.394001e-05	0.00044293862	0.038148463	0.61699814	0.3443465
o	0.00057572994	0.0025574458	0.0074372985	0.71171826	0.27771127
</S>	0.007944912	0.0024600176	0.0012377792	0.030038908	0.95831835
