 	non	mi	aspetti	non	vengo	</S>
m	0.4510112	0.5478835	0.00044594126	0.00051676866	0.00013075456	1.181559e-05
ì	0.008082934	0.0013026204	0.9703296	0.0013578762	0.011946873	0.006980089
m	0.09565524	0.89139897	0.0031348437	0.007136246	0.0026675207	7.183616e-06
e	0.19884157	0.045569118	0.5929322	0.004566718	0.1567934	0.0012970427
m	0.09830546	0.7979763	0.045239616	0.025606606	0.032038968	0.0008329023
ì	0.0023189858	0.0038148055	0.9918047	0.00043249122	0.001086181	0.00054281094
n	0.024245312	0.07772319	0.01679342	0.86921746	0.01199528	2.5297597e-05
i	0.3194695	0.32070702	0.08517228	0.13112766	0.042345177	0.10117841
e	0.0068159653	0.03239835	0.011473026	0.7595816	0.17860104	0.011130027
n	0.0040988596	0.00273943	0.038059227	0.40701166	0.31807706	0.23001367
è	6.1724284e-05	0.000551683	0.007711659	0.7854652	0.16911873	0.037090946
r	0.0002650384	0.00036778676	0.0031791187	0.08040793	0.880114	0.035666108
k	6.6570938e-06	3.8423415e-05	0.0002439742	0.013873392	0.9475632	0.038274296
o	1.2499854e-05	1.8404724e-05	0.0011273659	0.0037950284	0.56475455	0.43029213
m	0.00045808882	0.00015513216	0.00052391674	0.0055813882	0.41861093	0.5746705
e	4.8705137e-06	1.4411697e-05	0.00024492995	0.047315173	0.6205519	0.3318687
</S>	2.8751174e-05	0.00012362418	2.003599e-06	0.0030530868	0.031888407	0.9649041
