 	è	che	stanno	ancora	alzati	</S>
è	0.996856	0.003079299	5.4174237e-05	5.685189e-06	3.5120092e-06	1.261316e-06
n	0.33573323	0.50709724	0.13376583	0.023355031	2.8137993e-05	2.0552885e-05
a	0.3226154	0.49612385	0.18026738	0.00081363524	0.00017325656	6.4378264e-06
s	0.014864069	0.30415848	0.64040655	0.040399797	3.1624633e-05	0.00013944675
t	0.0006598291	0.3992987	0.5973867	0.0026064736	4.572885e-05	2.4933042e-06
a	0.00018644075	0.464411	0.5283773	0.0055740746	0.0013381676	0.00011301023
s	0.00031751057	0.30997437	0.5593204	0.13034059	3.1582527e-05	1.5464102e-05
ù	0.00066365383	0.29261655	0.34813723	0.3490591	0.007991193	0.0015322778
n	0.000291159	0.017337294	0.19713643	0.7847736	0.00019957195	0.00026205234
e	4.099835e-05	0.041296568	0.8138922	0.14320841	0.0014589332	0.000102865386
a	0.011632465	0.049811162	0.112270035	0.79323727	0.026801154	0.0062479842
n	6.168095e-05	0.00047521485	0.0015614555	0.9825402	0.014651964	0.0007093925
k	0.00020898045	0.0028516867	0.018389456	0.8128497	0.13459668	0.031103598
ò	0.000462123	0.019361723	0.03663281	0.2436618	0.58395964	0.11592195
r	0.0024318409	0.0017560342	0.01018425	0.8729084	0.089994565	0.022725021
a	9.511399e-06	0.00068594405	0.003588781	0.76185125	0.22470295	0.0091615645
o	0.0008222542	0.00095805665	0.0019763813	0.009810987	0.4541537	0.53227866
r	1.6836631e-05	2.251725e-05	5.6387937e-05	0.025994021	0.76347613	0.21043414
t	2.9622934e-06	1.8892593e-05	0.0005190194	0.13806652	0.582876	0.27851662
ì	4.5847582e-07	5.403438e-05	0.00016115957	0.01706075	0.9395058	0.04321772
</S>	2.5611724e-05	1.51681215e-05	2.6973135e-05	0.02338833	0.663585	0.31295893
