 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.8240313	0.17502232	0.000876442	3.4865334e-05	2.614552e-05	3.671966e-06	2.1371571e-07	5.698917e-07	2.8881875e-06	1.622913e-06
n	0.7343546	0.24448547	0.009989803	0.005912464	0.0036963068	0.0014972934	2.7558552e-05	1.1151101e-05	2.3259094e-05	2.1258536e-06
è	0.12723997	0.7907456	0.0794804	0.0020185704	0.0004061911	1.0869863e-05	5.4205626e-05	2.7368484e-05	1.20005e-05	4.8481224e-06
g	0.02733931	0.81659263	0.14305313	0.010335794	0.0023987547	0.00027039755	2.7913575e-06	4.113228e-06	2.1523417e-06	8.511982e-07
r	0.000617201	0.57359827	0.41658232	0.008915829	0.0002843148	1.115669e-06	7.168316e-07	1.5454138e-07	4.4315545e-08	8.993848e-08
a	0.0009959029	0.0987872	0.85556495	0.041520443	0.0023934538	0.0006829265	9.698459e-06	1.6976701e-06	1.037425e-05	3.342691e-05
t	0.017112331	0.065144055	0.10125089	0.7472845	0.06334287	0.004937946	0.00016372422	0.0005769582	0.00014844781	3.833872e-05
s	8.53215e-05	0.0625349	0.32821456	0.5978602	0.011128511	0.000109452216	5.803923e-05	7.3454607e-06	1.4703788e-06	1.8969673e-07
a	4.0807918e-05	0.030012969	0.2725977	0.6493744	0.031107387	0.016589932	0.00018964952	7.5358375e-06	7.895416e-05	6.877912e-07
m	0.00065979065	0.00040896173	0.0029574574	0.8952818	0.09986909	0.00080474606	1.0387079e-05	6.848e-06	5.157911e-07	4.91241e-07
à	4.868933e-05	0.006215965	0.02048399	0.9088874	0.054368213	0.0059633437	0.003368531	0.00035737295	8.783081e-05	0.00021880894
i	0.0004672394	0.00013755074	0.002417753	0.3026339	0.688673	0.0056416946	2.224967e-05	6.0477782e-06	1.37402e-07	4.773688e-07
è	0.018717729	0.0013223351	0.0007019608	0.053691372	0.89437807	0.020352896	0.0038694725	0.0068902113	4.3004246e-05	3.2898373e-05
n	0.000106052976	0.0004735521	0.00013734605	0.021352021	0.5618371	0.41432145	0.0015652985	0.00019057194	1.3130016e-05	3.511113e-06
a	0.00040685688	0.0008219013	0.0022302372	0.035640836	0.5296851	0.3855559	0.043260194	0.0013682628	0.0006432909	0.0003874778
g	0.019883515	0.03449787	0.0060599814	0.029890452	0.3342533	0.23771393	0.26174888	0.07469186	0.0010018179	0.0002584317
r	2.2811616e-06	3.5277604e-05	6.384076e-05	0.0017722589	0.021165133	0.09072326	0.81007487	0.07052065	0.0055832798	5.909121e-05
à	4.9193704e-07	1.9825226e-05	1.7504879e-05	0.00085885444	0.0035444258	0.009675922	0.9283222	0.037009854	0.01888916	0.0016617784
m	0.00024094625	0.00012964259	0.00026316158	0.0024152359	0.08495986	0.15535526	0.58986	0.16009633	0.005994967	0.00068446103
m	5.7015336e-06	4.3647462e-05	6.113875e-05	0.002585563	0.04574614	0.064440705	0.603824	0.22192334	0.061206054	0.00016373271
a	7.25161e-05	0.00079756574	0.0025303066	0.0017515926	0.0018090951	0.013241204	0.73226905	0.20736605	0.034545764	0.005616802
s	0.0017057358	0.0012424567	0.0034684131	0.0011643894	0.0037282482	0.0054115173	0.23841898	0.6786133	0.035005003	0.031242047
o	1.8146244e-07	6.703152e-06	1.6939603e-05	4.057566e-05	0.00046519047	0.010397647	0.49400243	0.29187283	0.20193815	0.0012593379
n	0.00017031896	4.2380096e-05	6.0578477e-05	7.166953e-05	0.00037988136	0.0003822005	0.049657345	0.8822468	0.032246925	0.03474197
a	2.497055e-06	7.314514e-05	7.1330025e-05	4.6281268e-05	0.00021257279	0.0043260506	0.16608937	0.39095435	0.4194796	0.01874481
d	0.00023289374	0.0001385679	0.00012194673	0.00016763087	0.00044792483	0.00030046396	0.033246834	0.5967347	0.23731603	0.13129303
e	7.5554976e-06	5.0366503e-05	3.0328649e-05	1.9458299e-05	2.1828973e-05	0.00029416566	0.0064609367	0.124010235	0.7530512	0.11605395
r	2.1168129e-05	1.45037575e-05	1.3047999e-05	1.9573641e-05	6.4906184e-05	3.0371668e-05	0.0045196377	0.08938183	0.43728864	0.46864632
f	2.530294e-06	3.5754518e-05	2.98041e-05	1.1210045e-05	6.497325e-06	8.412555e-05	0.0021775137	0.060323328	0.78814524	0.14918397
ò	8.86209e-05	9.648364e-05	0.00044199495	5.8322556e-05	2.9308474e-05	3.8900173e-05	0.0018370078	0.031492516	0.1771504	0.7887664
m	1.779028e-05	2.9800218e-05	6.001615e-05	2.4273637e-05	5.1918552e-05	0.00017607828	0.0005402263	0.0073421285	0.97164404	0.020113664
m	4.08871e-05	1.2859918e-05	9.798815e-05	1.1198129e-05	1.1487905e-05	8.6361986e-05	0.00017002692	0.008509697	0.8377632	0.15329637
u	0.000100740785	0.00039920735	0.0026396	0.00013772641	2.2050855e-05	1.0281166e-05	0.0018557875	0.057249792	0.17369792	0.7638869
</S>	6.895944e-05	0.00016075395	0.0005091602	6.13228e-05	3.5937945e-05	1.00204625e-05	7.7064265e-05	0.0011591776	0.059482343	0.9384354
