 	se	nella	nella	pasta	voleva	sale	l'	avevo	messo	</S>
a	0.9741483	0.023279399	0.0024832098	5.346792e-05	2.9439614e-05	2.8560246e-06	1.6558914e-07	2.5319607e-06	3.5631106e-07	2.6423191e-07
m	0.6991941	0.24222389	0.044342957	0.013468994	0.0005669413	0.00012556085	2.748874e-06	7.112553e-05	2.5781303e-06	1.1410125e-06
e	0.005128653	0.84624314	0.14115073	0.0017203215	0.004334661	0.0011306399	0.00022557401	5.9310318e-05	5.5749706e-06	1.3481423e-06
s	0.027004808	0.61723727	0.3531717	0.002527991	5.1869873e-05	4.085254e-06	1.4395529e-07	1.8376107e-06	4.301014e-08	1.9563342e-07
t	0.0006149166	0.7350295	0.23063424	0.026439428	0.0069455267	0.00024918592	3.2236614e-05	5.1994943e-05	2.7254107e-06	2.4080776e-07
i	0.00070165907	0.5590893	0.34126908	0.09334013	0.0054130116	0.00017865145	4.4453514e-06	1.6303999e-06	2.0230484e-06	8.307924e-08
p	0.002496099	0.5167635	0.4135062	0.06033102	0.00680828	8.924036e-05	6.907116e-07	4.7844583e-06	9.5518075e-08	1.04417595e-07
à	0.00012634313	0.18436974	0.196876	0.17174499	0.43059534	0.014770368	0.0013735426	0.0001106861	1.8812032e-05	1.4175956e-05
s	0.004999996	0.24353795	0.2613379	0.39574245	0.093981296	0.00037916997	6.289215e-06	1.3786465e-05	1.2744366e-07	1.0370226e-06
t	0.0006711501	0.076065384	0.055045173	0.74082255	0.12528223	0.0020597104	5.0594535e-05	3.0105377e-06	2.1688896e-07	4.7031033e-08
a	0.0010430313	0.087744266	0.1208793	0.7710565	0.018922674	0.0003492618	3.6042916e-06	1.8689073e-07	1.1064824e-07	1.0872817e-06
ì	0.04477199	0.026420405	0.063933805	0.16449288	0.666339	0.031865224	0.0005293956	0.0016164981	2.0780994e-05	1.0041694e-05
c	0.01175554	0.005843761	0.011298609	0.27549562	0.6272464	0.068057746	0.00021642093	8.2910454e-05	1.4059884e-06	1.6103971e-06
h	0.00014485564	0.00043132846	0.00084138144	0.019770458	0.85525423	0.12319566	0.00032727543	3.2244356e-05	1.4838528e-06	1.0560414e-06
e	0.00033861963	0.003439059	0.010850761	0.13528217	0.75110584	0.09868596	0.00029503217	1.227804e-06	1.10467155e-07	1.1059951e-06
t	0.010754513	0.000957599	0.0007613269	0.02887086	0.51049864	0.4305926	0.015673762	0.0018653969	1.8735258e-05	6.5514414e-06
e	8.795792e-06	0.00014651772	0.00045648206	0.0079871025	0.39543703	0.55479693	0.04103865	0.00011683706	1.1443051e-05	2.145075e-07
l	0.00023591753	0.00029025698	0.00036647564	0.00064297963	0.21179785	0.6773299	0.10629541	0.0030179722	1.6970314e-05	6.2468052e-06
ì	8.1844984e-05	0.00014307436	0.00021367986	0.0077195126	0.19583449	0.6771503	0.11747464	0.0012339052	0.00013064792	1.7843093e-05
s	0.00012518048	0.00015321505	0.0002850637	0.0007315587	0.12002397	0.38652614	0.14290929	0.34884444	0.00038672576	1.4493096e-05
o	0.00043135718	0.00023180159	0.00039564216	0.0015403434	0.044314954	0.8678115	0.0838482	0.0013591953	3.8135753e-05	2.876596e-05
