 	non	ho	dove	d'	andare	</S>
e	0.8134202	0.18497439	0.0009679383	0.0005283441	9.5059455e-05	1.408931e-05
n	0.78385365	0.14558285	0.06071102	0.009598865	0.0002195271	3.4139226e-05
è	0.116114445	0.8223279	0.05642121	0.002082841	0.0028463725	0.00020725097
c	0.032542054	0.5648981	0.38098916	0.021450166	0.000108342814	1.2271037e-05
h	0.0013731176	0.72253644	0.2716166	0.0034321507	0.0010365419	5.041056e-06
o	5.7808058e-05	0.12502986	0.8615611	0.012962749	0.00037640575	1.2060597e-05
p	0.0013742071	0.026025087	0.8723184	0.09773654	0.0022578028	0.00028793464
u	3.639567e-05	0.0029707975	0.94094455	0.04155615	0.0143377315	0.00015442108
è	0.018836588	0.0025673802	0.01811193	0.8586437	0.036872126	0.06496829
n	0.00055519136	0.0006166429	0.0031889942	0.9808543	0.014331874	0.0004531152
a	0.0002950472	0.0002920292	0.0012392281	0.9671149	0.026871271	0.0041874857
p	0.022922412	0.047159877	0.0063551217	0.022516405	0.7683947	0.1326515
à	3.474807e-05	0.00025976019	0.001481761	0.026755873	0.80505276	0.16641508
o	1.01199685e-05	1.0897047e-05	3.850094e-05	0.003526205	0.99317354	0.003240758
</S>	0.0014861267	0.0012294624	0.00014568037	0.00016563668	0.071226515	0.92574656
