 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a	0.9988674	0.0009479718	1.1958666e-05	0.00016287122	1.9819545e-06	6.725814e-06	7.341657e-07	1.6490349e-08	1.9148716e-07	1.01654365e-08	3.7083387e-09	4.058707e-09	3.952931e-09	1.5534024e-09	2.8815037e-09	2.3157387e-08
k	0.7233367	0.18779069	0.008310331	0.074921824	0.004058364	0.0010939273	0.00021226335	4.289183e-06	0.0002639582	1.2959803e-06	1.3845711e-06	1.6122015e-06	5.474656e-07	6.64711e-07	7.905685e-07	1.3267617e-06
è	0.5167993	0.4383359	0.015013297	0.027373845	1.8079318e-05	0.0023773785	6.473867e-05	7.0232454e-06	7.430894e-07	8.299907e-06	4.742999e-07	1.3968508e-07	7.215923e-07	2.6959087e-08	3.8734548e-08	5.5393954e-08
c	0.002428607	0.9759005	0.0024625612	0.018897243	6.89087e-05	0.00024000245	2.0561354e-06	1.3585364e-08	1.937173e-07	3.2229255e-09	1.897604e-09	1.978325e-09	1.1413646e-09	6.0221106e-10	7.695319e-10	3.2109364e-09
c	0.05844452	0.81493837	0.09600301	0.030531595	3.5984154e-05	4.059036e-05	5.025884e-06	3.0661923e-07	3.3746886e-08	4.2247646e-07	3.0861276e-08	6.76056e-09	1.194518e-07	3.3732133e-09	2.6698315e-09	1.893769e-08
i	0.07891527	0.73859173	0.08359629	0.09812864	0.00031445033	0.000418465	8.573186e-06	1.7132709e-06	2.8040179e-06	4.1866815e-06	5.3465936e-07	2.521968e-07	3.5628952e-06	2.8521444e-07	3.7103774e-07	1.2861632e-05
a	0.020786213	0.1498065	0.42904198	0.3215692	0.005058969	0.071884654	0.001795293	1.4762698e-05	3.6813188e-05	1.4794374e-06	7.800475e-07	9.5202813e-07	1.8092136e-07	1.5036977e-07	3.0966953e-07	1.7221714e-06
a	0.0022564775	0.011369625	0.8938682	0.07164123	0.014364365	0.0060028643	0.00047060818	4.882773e-06	1.9629833e-05	9.0942893e-07	2.7626908e-07	2.9060692e-07	1.1280939e-07	7.061633e-08	1.3507814e-07	3.1513088e-07
r	0.0027803655	0.009341488	0.5885796	0.14515272	0.20882425	0.041540712	0.0036521521	1.9672123e-05	0.00010638585	1.4909001e-06	3.6437189e-07	3.491867e-07	1.0056039e-07	5.3877766e-08	9.026598e-08	2.07303e-07
è	0.00017805673	0.006373566	0.18273571	0.7043608	0.023976749	0.07612147	0.00554414	0.0004991337	5.486801e-05	0.00010698407	2.6390386e-05	1.3049534e-05	5.3623608e-06	2.030381e-06	1.5151118e-06	1.8064704e-07
t	2.4619163e-05	0.002549154	0.02502288	0.9251988	0.0048604803	0.041807562	0.0005341068	1.6516256e-06	7.1536704e-07	3.5452416e-08	7.254588e-09	5.0439657e-09	1.5281078e-09	6.124968e-10	8.6667e-10	1.631466e-09
i	0.00040922643	0.003103395	0.3599442	0.60196126	0.031934008	0.0019103743	0.00067567424	4.939005e-05	1.2028532e-06	8.5393995e-06	1.1049576e-06	1.9804565e-07	1.3154812e-06	8.443495e-08	5.360618e-08	3.1678933e-08
e	0.06730498	0.02475033	0.10617018	0.047068752	0.3994159	0.1622981	0.18892135	0.0029785852	0.0007090498	0.00028456558	4.109001e-05	2.8164499e-05	1.3395007e-05	2.9828418e-06	5.229262e-06	7.338354e-06
s	0.0041877413	0.0024598069	0.014409197	0.0072642933	0.40537265	0.2993198	0.2653757	0.0014646822	0.000118060016	2.422715e-05	2.0843434e-06	9.569951e-07	4.6855052e-07	4.9818734e-08	1.317706e-07	2.2300264e-07
ò	9.834531e-05	0.00040071577	0.010233074	0.029824981	0.07370322	0.6617835	0.20979324	0.01248417	0.001508385	0.00013528117	2.5231595e-05	7.3673914e-06	1.4554869e-06	5.1971574e-07	3.300296e-07	4.533402e-08
z	0.00013820261	0.0005003926	0.00069000357	0.0053054546	0.019991608	0.7561946	0.21470656	0.0023011407	0.00016282321	8.1744665e-06	7.64613e-07	2.0675118e-07	3.6864186e-08	7.616515e-09	7.3610336e-09	5.820869e-09
u	0.00071623997	0.00062502193	0.022346338	0.008429419	0.5202877	0.045480225	0.39032796	0.010764379	0.0008379569	0.00012252142	4.5080244e-05	9.852532e-06	4.488799e-06	1.4549e-06	9.126334e-07	5.095047e-07
n	0.015439002	0.011735567	0.006056776	0.0062789554	0.15370691	0.043016627	0.6797806	0.07499772	0.0065480364	0.0019721887	0.0003145419	0.0001175425	2.6439282e-05	3.2632074e-06	4.31059e-06	1.5275921e-06
f	0.0016145265	0.0014783746	0.0067546447	0.0015015574	0.22609307	0.030704627	0.5845301	0.10085967	0.04382475	0.001589316	0.0006938564	0.00025669212	2.9756467e-05	2.3767085e-05	3.2395663e-05	1.2846202e-05
à	0.07725408	0.061249565	0.10244917	0.011375926	0.05900377	0.11741219	0.20151855	0.27268916	0.00027932954	0.08866541	0.005406598	0.0009800822	0.00089310383	0.00010306089	0.00024314463	0.00047678876
i	0.0046892017	0.0063850638	0.0058800313	0.007741652	0.1126998	0.083670504	0.6733978	0.08658774	0.015722018	0.0025900542	0.0004543036	0.000106403364	4.8436777e-05	4.5773663e-06	8.5644515e-06	1.3836231e-05
o	0.010795706	0.011598185	0.003188929	0.004560922	0.055943303	0.018112697	0.3856837	0.4646476	0.02979176	0.01321988	0.0019683293	0.0004026024	6.330467e-05	8.02361e-06	1.0038267e-05	5.078295e-06
g	0.0019032235	0.0013160344	0.0005386175	0.00036755682	0.021265531	0.00602079	0.39199483	0.52925533	0.03718519	0.007977041	0.0019684136	0.00019579292	8.159653e-06	1.3738852e-06	1.6437514e-06	4.518209e-07
e	2.2498689e-05	3.8939368e-05	5.0047554e-05	0.00013945029	0.009331996	0.02542597	0.14713311	0.63468254	0.011895622	0.12393183	0.04464436	0.0026198411	6.293038e-05	1.6996139e-05	3.6782255e-06	1.9714831e-07
l	0.00045553397	0.00030795982	0.00017610131	0.00019153135	0.0016745754	0.003640081	0.16779405	0.6675224	0.023351138	0.10194593	0.029982882	0.0029094983	4.0633335e-05	5.518194e-06	1.8880538e-06	2.8256827e-07
à	6.6002074e-05	7.3299874e-05	5.9808386e-05	8.951516e-05	0.0071310974	0.0064814556	0.15255046	0.4855326	0.017395915	0.18070468	0.13665122	0.012229136	0.0005529207	0.0003217278	0.00013480932	2.526553e-05
