 	sto	e	cucino	</S>
e	0.99780744	0.0015705903	0.0005500878	7.182072e-05
s	0.8317725	0.15759157	0.010276384	0.00035940984
t	0.544368	0.4518296	0.0036124485	0.00018996884
è	0.111924246	0.63992816	0.24046284	0.0076848515
c	0.25506374	0.657296	0.082760334	0.004879957
e	0.0056160614	0.9810048	0.013364037	1.5235792e-05
m	0.05681871	0.7516571	0.115859844	0.07566438
a	0.0021165581	0.5203112	0.438039	0.039533217
r	0.00031926122	0.03135127	0.39893883	0.56939065
è	0.00024402261	0.022053577	0.89417005	0.08353237
o	0.00023630176	0.01581363	0.8889741	0.09497602
</S>	0.00083532964	0.00019041427	0.03876319	0.96021104
