 	le	ragazze	vogliono	guardate	</S>
t	0.9990491	0.0009240134	1.0202395e-05	1.48443e-05	1.6330279e-06
a	0.9946078	0.0053096865	7.725238e-05	5.1110183e-06	6.888976e-08
k	0.29990232	0.69447577	0.005518361	9.413574e-05	9.447908e-06
o	0.8140556	0.18163395	0.0028606032	0.0008648697	0.0005849409
r	0.058351047	0.9159507	0.025680829	1.0879563e-05	6.5299137e-06
à	0.015719276	0.73068243	0.2505489	0.002393423	0.000656014
s	0.00875037	0.65516156	0.33558714	0.00048021149	2.0652684e-05
i	0.039163195	0.51102895	0.44940627	0.00037278587	2.8808416e-05
a	0.043992303	0.41213596	0.5397493	0.0037391833	0.00038327283
t	0.0018979824	0.020390023	0.9753793	0.0021965997	0.00013601023
è	0.00031567912	0.049613006	0.6669805	0.21466784	0.06842293
l	0.00038588452	0.03868549	0.9215494	0.03634545	0.0030338073
o	0.0006760758	0.0061310017	0.8170371	0.17555232	0.0006034409
n	0.05747949	0.050761502	0.21601956	0.5916986	0.08404088
e	0.00034336458	0.0030181052	0.06659579	0.9104802	0.01956261
k	0.0016477336	0.0012476707	0.028048776	0.5463791	0.42267674
a	0.0003369856	0.0009265173	0.055539854	0.8595428	0.08365379
n	0.0036053264	0.0018833546	0.0051952363	0.80955243	0.17976367
o	0.00019341202	0.0002548852	0.0051710624	0.9086298	0.08575084
n	0.00048665344	0.00031268332	0.0009401313	0.6002427	0.39801785
i	0.00019769916	0.00013387192	0.0009325596	0.8812183	0.117517516
m	0.00026355367	0.00014049682	0.00035667958	0.43961614	0.5596231
m	0.00012989744	9.107842e-05	0.0004423888	0.81893194	0.18040471
è	0.0024019596	0.00066186907	0.01023674	0.34542632	0.64127314
n	0.0007641085	0.0009687951	0.0022470814	0.9062594	0.089760594
a	0.005526215	0.0011190051	0.005674313	0.66123986	0.32644057
</S>	0.0143068805	0.002396148	0.0018737448	0.050833095	0.9305902
