 	non	sono	andati	</S>
e	0.9545593	0.0427996	0.0024598353	0.00018129524
n	0.586437	0.4016755	0.011268075	0.00061947823
è	0.26773468	0.72411466	0.006422756	0.0017279864
c	0.012929076	0.9644465	0.022336708	0.00028776936
h	0.00058259565	0.9524792	0.046823103	0.00011513243
u	8.675914e-05	0.9294291	0.06931322	0.0011708782
n	0.0006380697	0.1274629	0.83083236	0.04106669
e	0.00016804127	0.16040385	0.83030564	0.009122411
p	0.00022483112	0.0012837	0.39616594	0.6023255
a	6.040329e-05	0.00992007	0.8808129	0.109206714
m	0.00014342189	0.00048984814	0.61646	0.38290673
è	1.3055751e-05	0.00043803456	0.87598485	0.123564005
n	0.00012991426	0.001274727	0.96883136	0.029764
a	0.00050396443	0.007554389	0.7472198	0.24472174
</S>	0.00070879684	0.00087947136	0.07702529	0.9213864
