 	che	non	li	aspetiamo	</S>
n	0.90478987	0.09497569	0.00013972714	8.8002445e-05	6.7648775e-06
a	0.8866467	0.010884547	0.10150614	0.00032264407	0.0006399002
m	0.063889876	0.91723186	0.01695331	0.001835377	8.958046e-05
i	0.044320356	0.18663678	0.720119	0.00029777092	0.04862607
t	0.014213884	0.03318001	0.87275904	0.07297834	0.0068687717
u	0.0027560694	0.031349044	0.8629774	0.008034407	0.094883114
s	0.006003915	0.07151031	0.5548648	0.18441571	0.18320532
m	0.00073735625	0.5375192	0.056526955	0.15300344	0.25221312
ì	0.00093123555	0.0034698977	0.92409486	0.035848152	0.03565577
n	0.002064384	0.042308208	0.28636777	0.65559113	0.013668514
o	0.00066043896	0.008937921	0.8280452	0.105199665	0.057156857
m	0.004191179	0.01074364	0.01258659	0.6519754	0.3205032
e	0.00016122404	0.0024760778	0.07689047	0.76265806	0.15781413
</S>	1.4154865e-05	0.00034512233	0.0003974027	0.028941114	0.9703022
