 	e	che	cucino	</S>
c	0.9982999	0.0015102748	0.00016169272	2.8066966e-05
e	0.99826694	0.0016037666	0.00012086531	8.33027e-06
p	0.76940966	0.22740333	0.0020005377	0.0011865319
u	0.20226572	0.785118	0.008917971	0.0036983602
m	0.117867164	0.6689594	0.13933125	0.073842265
a	0.005303736	0.86190903	0.04482047	0.08796679
r	0.0047849333	0.24250644	0.65663713	0.09607157
è	0.0015666245	0.2531403	0.56529874	0.17999429
o	0.0015907668	0.08490991	0.8837999	0.029699491
</S>	0.007395818	0.0059274836	0.12011228	0.86656445
