 	ho	messo	uno	specchio	sul	muro	</S>
è	0.9943125	0.005453139	0.00021948462	8.642175e-06	1.325629e-06	4.2559886e-06	5.348129e-07
v	0.5069383	0.43315762	0.057503376	0.0019145311	0.0003032921	0.00016997178	1.28616575e-05
a	0.9195722	0.078023545	0.0017312359	0.0002876354	0.00025014541	0.00013390864	1.1925401e-06
l	0.026483916	0.96849567	0.0048526027	5.357934e-05	1.4739421e-05	8.949162e-05	9.925861e-06
a	0.024507841	0.7675859	0.1938055	0.012692759	0.00060089264	0.000791065	1.6142065e-05
è	0.00040259334	0.9759532	0.023579786	5.723211e-05	2.5306163e-06	4.3054542e-06	3.7280805e-07
n	0.05047898	0.8481958	0.09814876	0.0018456085	0.0005277107	0.0006659863	0.00013712095
a	0.003808268	0.15372737	0.465956	0.36711162	0.0072855116	0.0013111432	0.0007999558
n	0.39715165	0.25512823	0.21785492	0.030871522	0.030393763	0.06809822	0.0005016356
j	0.0009783074	0.0016768997	0.43085226	0.5603436	0.00496552	0.0010585276	0.0001248466
a	0.0067779277	0.0013906416	0.054391507	0.7571738	0.09752787	0.066500485	0.016237764
l	0.0024617855	0.015448634	0.30366138	0.5678213	0.076645024	0.03227113	0.0016907603
ì	0.00041420825	0.00018627972	0.09009176	0.88058805	0.012289615	0.01146441	0.004965612
s	0.009161878	0.014818283	0.11429718	0.6657251	0.16671555	0.02856454	0.0007175166
t	0.0010751213	0.00067834253	0.032172587	0.70467585	0.1456643	0.008587452	0.10714627
o	0.013829582	0.00062688417	0.011967844	0.26028123	0.56586736	0.045527015	0.1019
t	0.05940006	0.010952268	0.0037827275	0.020602414	0.3920662	0.47426602	0.038930275
ì	1.0566291e-05	1.5202347e-05	0.0035048411	0.069031924	0.73923516	0.1748425	0.013359752
c	0.00073639577	0.00023887899	0.00034229358	0.0019092266	0.24007106	0.7497747	0.0069274805
h	9.2206996e-05	4.5417113e-05	0.013398382	0.18014911	0.35276696	0.35281643	0.100731485
o	0.00036366636	1.2271212e-05	0.00013384574	0.011699378	0.061956495	0.79865193	0.12718238
</S>	0.0007308618	1.912198e-05	7.592345e-05	0.0010518581	0.015131214	0.10611027	0.87688076
