 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.9981767	0.0017717764	3.6934332e-05	3.5321568e-06	1.9304096e-06	8.707525e-06	4.1876592e-07
n	0.5095288	0.45649537	0.028261509	0.0038427413	0.000900953	0.0009613864	9.18607e-06
a	0.5492569	0.42572847	0.024547953	0.0004495928	1.1743258e-05	4.1003345e-06	1.2510264e-06
a	0.040999748	0.7727447	0.14800805	0.027103432	0.005892764	0.0051967613	5.46331e-05
f	0.00075416383	0.785013	0.20971574	0.0042279894	0.0001582766	0.00012955802	1.4286436e-06
o	0.00016734212	0.25390437	0.67633104	0.06877227	0.00046804824	0.00014593946	0.00021098458
r	0.0048889057	0.4014745	0.3887122	0.20129867	0.0035799667	4.095873e-05	4.754004e-06
à	0.00017099554	0.04748522	0.14073002	0.79996854	0.0109725315	0.00059107895	8.1635655e-05
s	0.0033569923	0.1307786	0.26703942	0.56545806	0.03288047	0.00047474756	1.1654206e-05
o	0.00014560374	0.20586391	0.45205075	0.3392368	0.0026692585	3.095173e-05	2.8340116e-06
t	0.04454726	0.08303539	0.24667798	0.472317	0.14280976	0.010290138	0.00032255682
o	1.2696257e-05	0.007705632	0.058960762	0.79860723	0.13262403	0.0020472272	4.2419935e-05
t	0.0007795015	0.0032274888	0.021295182	0.30539596	0.66642296	0.002760466	0.00011845789
s	2.0810023e-05	0.001664967	0.019749312	0.77292675	0.19453561	0.008189099	0.002913357
o	3.7198956e-06	0.014687457	0.077167846	0.7741127	0.07038566	0.052360278	0.01128236
m	8.798124e-05	0.0008948538	0.003365714	0.062129557	0.8112644	0.10290764	0.019349756
ì	1.531754e-05	0.0010634484	0.014293233	0.6987117	0.25836337	0.016286686	0.01126632
p	3.3446726e-05	0.00015962416	0.0007274079	0.004738178	0.38945317	0.58876884	0.016119264
à	2.8209864e-05	0.00054247666	0.0053860988	0.31173375	0.6540083	0.024729729	0.0035713364
s	0.00041308152	0.000121524296	0.00093559554	0.0058246446	0.59697	0.38029844	0.015436717
s	1.4938188e-05	0.00016809149	0.0008193121	0.0013537655	0.4689663	0.49854454	0.030132994
i	3.398124e-05	0.00037484118	0.003780089	0.03306827	0.54891634	0.34222785	0.071598575
n	5.550346e-05	2.0865153e-05	5.345066e-05	0.00014670483	0.017821182	0.45433867	0.5275636
i	3.53395e-06	9.338338e-06	5.3703945e-05	0.0011738084	0.27563843	0.6613137	0.061807536
m	5.3231597e-05	3.311453e-05	6.739072e-05	6.0801907e-05	0.0028191826	0.24094072	0.7560255
è	2.1711785e-05	1.4013611e-05	1.772999e-05	0.00017611831	0.12494062	0.7353533	0.13947655
r	5.54289e-05	2.998363e-05	6.3755935e-05	0.00012654836	0.013945379	0.83409965	0.15167922
a	1.8241385e-06	5.206135e-06	9.636284e-06	4.6627233e-06	0.0045877104	0.8868812	0.10850984
</S>	0.0001247513	9.704288e-05	0.00028112336	0.0003990102	0.0004753254	0.12527715	0.8733456
