 	il	vestito	della	sposa	deve	essere	bianco	</S>
o	0.99498737	0.005003244	3.526066e-06	2.191143e-06	2.4559047e-06	1.0364747e-06	2.2970315e-08	9.110531e-08
à	0.78909785	0.18997227	0.0030369917	0.0059305476	0.009947666	0.0020107375	1.4830899e-06	2.4451715e-06
b	0.17962703	0.7873955	0.017741982	0.00934592	0.0048395796	0.0010464389	1.4578878e-06	2.188914e-06
b	0.07042314	0.9141779	0.015051158	0.0003317105	1.2043112e-05	1.3222641e-06	2.6799544e-06	3.7184883e-08
e	0.20038216	0.7447635	0.05050468	0.0017596501	0.0015933261	0.0006792073	8.0584825e-05	0.00023691657
t	0.08417137	0.60557616	0.18635593	0.118127406	0.0042855535	0.0014473313	1.34339525e-05	2.284458e-05
o	0.0023562543	0.3919404	0.5926307	0.012985354	7.796686e-05	4.686777e-06	4.593454e-06	4.834025e-08
u	0.006268852	0.15364659	0.31402186	0.5249233	0.0010786742	5.6124318e-05	2.4308597e-06	2.099561e-06
k	0.003082695	0.033316508	0.26313317	0.6956909	0.0046980367	6.3028936e-05	1.3573225e-05	2.1077517e-06
o	0.0030465382	0.033981908	0.56774145	0.3729416	0.019365022	0.0022453163	0.00063854165	3.9534996e-05
r	0.0017208327	0.0042338376	0.06484017	0.90746576	0.02140247	0.00033210145	3.4972654e-06	1.3483109e-06
a	0.00087632105	0.0147171235	0.39522648	0.51168793	0.06977945	0.0064272285	0.0010437825	0.00024176197
s	0.0010269086	0.0021383476	0.035183966	0.7974865	0.15777896	0.0063739615	8.723617e-06	2.7013655e-06
ì	0.0013153172	0.0050002816	0.122826695	0.5145645	0.27373338	0.07979873	0.0023954795	0.0003655752
u	0.0008256568	0.00062197546	0.015173681	0.4139747	0.3923712	0.17683835	0.00017487157	1.9541038e-05
è	0.011929859	0.0017400967	0.007880761	0.15203768	0.7431809	0.08206043	0.00079320825	0.00037708753
n	0.0020616006	0.0005580814	0.008196829	0.07950169	0.2888045	0.61725014	0.003466444	0.00016069907
a	0.0026516025	0.00055103237	0.0063553522	0.008428889	0.27028	0.65568864	0.025830308	0.030214043
n	0.17818178	0.047729697	0.036346406	0.07187487	0.13473396	0.3984491	0.082286574	0.050397564
e	0.0030885446	0.0008547803	0.0046059135	0.006699373	0.01184465	0.380074	0.3974789	0.19535391
à	0.0024337203	0.0006753265	0.0007073427	0.0015810517	0.0013742581	0.025723614	0.6964601	0.27104452
s	0.0056097535	0.0007593347	0.0023203269	0.004206322	0.008689911	0.05455857	0.40316972	0.5206861
p	0.000107852895	5.8279293e-05	0.00016328425	0.0003423006	0.008420132	0.08966335	0.8493095	0.051935248
r	0.0010739723	4.719047e-05	0.0005451058	0.00010120756	3.2558257e-06	0.0001095365	0.9279803	0.07013937
o	2.2612781e-05	4.394319e-06	3.683844e-05	1.9084193e-05	8.7466055e-05	0.0009043884	0.97043884	0.028486382
</S>	0.000257631	1.8788824e-05	4.31186e-05	1.48780455e-05	8.689082e-05	0.000731737	0.17048202	0.8283649
