 	la	donna	pulisce	la	casa	l'	uomo	no	</S>
e	0.99452543	0.0054623904	9.887108e-06	7.8952047e-07	5.8146117e-07	5.4284296e-08	6.850033e-07	1.1001658e-07	6.2197024e-08
j	0.96628124	0.024873966	0.00834992	0.000261389	0.00016613834	4.1326816e-06	5.9595382e-05	2.4085405e-06	1.2907316e-06
i	0.9137733	0.055177547	0.026117997	0.001811792	0.0027351463	0.00011169462	0.00027036172	1.9120484e-06	2.0373096e-07
n	0.39071855	0.60244226	0.0066944826	0.00013328774	9.542743e-06	5.2480783e-07	1.039293e-06	7.20144e-08	1.9490471e-07
è	0.31044528	0.46451116	0.17464188	0.016757619	0.023762848	0.002082845	0.0075912243	0.00018848717	1.8550565e-05
k	0.06299441	0.3616173	0.5604097	0.014545019	0.00041117388	8.481513e-06	1.289145e-05	5.9973934e-07	4.446017e-07
a	0.06829839	0.85940444	0.06713752	0.0047748736	0.00029413807	4.4586926e-05	3.5746023e-05	3.5634669e-06	6.7887067e-06
p	0.04507058	0.02690389	0.87325907	0.037658382	0.016178984	0.0003581111	0.00052104384	3.7278205e-05	1.2665623e-05
u	0.0024928455	0.0023401305	0.81617427	0.17077963	0.0056863604	0.0008451125	0.0016255364	4.924289e-05	6.7624865e-06
l	0.00070977194	0.0016170164	0.9297397	0.06109614	0.006694914	0.00012768434	1.434676e-05	3.8701168e-07	1.6086051e-07
i	0.0012537548	0.0010176123	0.68129766	0.25811344	0.05204193	0.0031705948	0.0030168775	8.0956714e-05	7.2217686e-06
z	0.0012434775	0.00030767484	0.83420545	0.13229917	0.031316567	0.00055075093	7.100296e-05	5.3144563e-06	6.7297697e-07
z	0.00031230733	0.00012119573	0.46531817	0.47163323	0.052197993	0.009060185	0.001196601	0.00011713581	4.3209875e-05
è	0.008922582	0.002282034	0.284895	0.422611	0.23492633	0.043791387	0.0014814371	0.0008757004	0.00021456316
i	0.002680426	0.0073698116	0.6730999	0.2925514	0.022192795	0.0017912306	0.000288497	1.54334e-05	1.0603175e-05
o	0.07398059	0.019005533	0.103416935	0.37904334	0.2942939	0.11375448	0.015905809	0.0005278798	7.143906e-05
s	0.017512053	0.002981152	0.029260665	0.17853667	0.32740363	0.43769854	0.006414704	0.00017837927	1.4175745e-05
p	6.768976e-05	1.3608525e-05	0.047741637	0.07861423	0.6654305	0.20329738	0.004748923	8.056486e-05	5.5482183e-06
ì	0.0004217092	1.7148848e-05	0.012753397	0.026051192	0.66980904	0.28980267	0.0008692405	0.00012826006	0.00014741764
t	0.00045435346	0.000346327	0.05043312	0.1979545	0.4916686	0.25232175	0.0067786397	3.0859723e-05	1.1864296e-05
i	0.0010828954	0.00016992047	0.044556692	0.16971846	0.21655856	0.5584136	0.009142693	0.000244383	0.00011277531
o	0.050008427	0.011144552	0.024333173	0.054324236	0.07373177	0.6409722	0.13233437	0.012839014	0.0003123125
à	0.003919181	0.00049471273	0.0010673462	0.0034200237	0.018780466	0.8735682	0.09202398	0.0066143344	0.00011170879
n	0.011813573	0.0021246653	0.0043484974	0.0058568357	0.046264384	0.84842193	0.0763192	0.003749381	0.0011015547
t	0.0010292659	0.00017479883	0.0032644903	0.018810047	0.039192513	0.51344913	0.40054098	0.019675985	0.0038627505
r	0.017572949	0.00028723964	0.0052532195	0.0061772773	0.07276803	0.39537647	0.4705773	0.010385061	0.021602454
e	0.00022382091	4.1354153e-05	0.0007134969	0.0048368284	0.033380292	0.34598854	0.58876693	0.02469653	0.0013521957
p	0.010123764	0.0017221438	0.0016818846	0.0011194636	0.008925103	0.10390612	0.1357299	0.52871424	0.20807739
o	2.0675912e-05	1.3935481e-05	5.4688546e-05	0.00027185972	0.0020455797	0.04809768	0.3943481	0.531775	0.023372363
d	2.4181327e-05	7.039483e-06	1.1868037e-05	2.1935632e-05	5.5060093e-05	0.0020690667	0.02541618	0.8291111	0.14328358
è	8.6739725e-05	5.2724066e-05	8.667927e-05	0.00013501906	0.00036320256	0.0073824627	0.3202085	0.5392253	0.1324594
g	6.4342307e-06	1.6003982e-05	1.2603104e-05	5.0630482e-05	0.00010177452	0.0009216606	0.126146	0.8658119	0.0069329115
g	0.0005268551	0.00023426168	8.6483866e-05	0.00023420864	2.3169889e-05	0.0014860228	0.21496807	0.48890007	0.29354084
h	0.0024399403	0.00046132458	0.00034880522	0.00041926003	0.00040967035	0.01060514	0.5666862	0.33146217	0.087167434
e	0.0011234215	0.00020609224	0.0002011945	0.0003511799	0.0002718396	0.009081841	0.73087966	0.22586796	0.032016806
</S>	0.0007368778	0.0002818091	0.00030066518	0.00017024342	0.000701168	0.0005274788	0.002372927	0.1151509	0.87975794
