 	ho	rotto	una	bottiglia	</S>
è	0.9959966	0.0037053346	0.00012412942	0.00014655775	2.7373635e-05
g	0.37595767	0.43639812	0.18548469	0.0020783748	8.105234e-05
l	0.31083822	0.68445444	0.0037994902	0.00090482883	3.0644908e-06
a	0.023067076	0.9540284	0.021043587	0.0015313517	0.00032942978
s	0.018339317	0.9135227	0.065558754	0.0021036866	0.00047544605
a	0.0022372995	0.7972147	0.1931071	0.0073898057	5.110871e-05
m	0.001030158	0.15511408	0.832985	0.009814068	0.0010566367
i	0.0012411848	0.16435306	0.5561287	0.15923114	0.1190459
a	7.937334e-05	0.04891512	0.6918592	0.21834272	0.040803637
b	0.0015828408	0.004733787	0.066591345	0.87083364	0.056258485
u	0.00058985216	0.004209345	0.37724125	0.4091203	0.20883925
t	4.2379623e-05	0.0009010739	0.100985155	0.6852023	0.21286906
t	0.0004007911	0.0010263999	0.19909394	0.46262923	0.3368496
ì	3.8074938e-06	0.0028672349	0.02249745	0.91357297	0.06105843
g	8.00297e-06	4.9236387e-05	0.023745975	0.95775396	0.018442854
l	0.0003907222	0.0006069585	0.041353412	0.93083483	0.026814036
i	0.0002675135	0.00019713512	0.0003841328	0.906944	0.092207134
a	0.0008809145	0.00018708447	0.0008436765	0.44382232	0.554266
</S>	6.179586e-05	6.423841e-05	0.0002853353	0.22206873	0.77751994
