 	l'	ho	sentito	che	veniva	</S>
o	0.99066097	0.009201695	0.0001040039	3.3460385e-06	2.6981794e-05	3.0456413e-06
n	0.21998031	0.1504606	0.53097177	0.0071978243	0.09113062	0.00025889615
ì	0.22518499	0.7494321	0.018428706	0.0056291143	2.3946755e-05	0.0013011061
k	0.0013832344	0.037489302	0.9418458	0.016477669	0.0027808084	2.3286984e-05
u	0.0034466996	0.29381686	0.6922852	0.010191302	0.00025464856	5.266268e-06
s	0.0574416	0.15076502	0.4878873	0.15725529	0.13855547	0.008095363
a	0.0003650811	0.01500834	0.113580935	0.8699716	0.00094507355	0.00012898672
k	0.0087885745	0.01014769	0.15232144	0.14901616	0.65901744	0.020708703
a	0.00016325703	0.0013001849	0.021820722	0.94205034	0.008093187	0.026572268
è	0.0006247606	0.00046211857	0.0016123377	0.009337606	0.87157756	0.11638557
r	0.00065406336	0.00052023394	0.000515408	0.012870837	0.9730402	0.012399177
k	6.135778e-05	9.4131065e-05	0.0040844553	0.54365015	0.3859493	0.066160575
a	0.007894452	0.00060885196	0.0013275836	0.059001666	0.2996706	0.63149685
t	0.00031582615	0.00017905582	0.00046338383	0.006357889	0.46268815	0.5299957
o	3.4129283e-05	4.445702e-05	0.00014355652	0.5138406	0.087430865	0.3985064
</S>	5.9018043e-05	9.216448e-06	3.155765e-05	0.00032339807	0.17581877	0.823758
