 	forse	sono	usciti	</S>
f	0.99847573	0.0008349449	0.00066456327	2.4758874e-05
ò	0.9982994	0.001500393	0.00014383408	5.631082e-05
r	0.8449518	0.14989366	0.0051392196	1.5354379e-05
s	0.9890827	0.010801842	0.000113915245	1.5545781e-06
i	0.99100304	0.006088042	0.0026686145	0.00024030362
e	0.21836056	0.76037234	0.017768238	0.0034988234
g	0.02883394	0.9662311	0.0042313887	0.0007035939
g	0.038655646	0.67659825	0.26019916	0.024546936
u	0.014396302	0.064549185	0.24943073	0.67162377
ì	0.0053224047	0.63166595	0.11464198	0.24836974
k	0.010702889	0.20931293	0.75106853	0.028915644
a	0.0011937482	0.056163426	0.91998893	0.022653934
n	0.021152323	0.010006024	0.4847673	0.48407432
e	0.0029755167	0.0007334574	0.92272335	0.07356764
</S>	0.00071956887	0.0006688761	0.0513546	0.9472569
