 	ho	cosa	a	fare	</S>
è	0.99216264	0.007076534	0.00022388385	0.00047360992	6.338985e-05
c	0.21302943	0.6160743	0.022220138	0.14858104	9.513133e-05
h	0.2199896	0.7210719	0.058841538	7.700603e-05	2.0067333e-05
o	0.0011087055	0.9832208	0.015480083	0.00018699988	3.547497e-06
t	0.022007732	0.71497506	0.25648648	0.003906294	0.002624492
i	0.0006744938	0.19573364	0.8021635	0.0009774974	0.00045086443
k	0.000681469	0.026477251	0.41029078	0.30254805	0.26000252
à	0.0016437167	0.008785593	0.86112946	0.06962903	0.058812223
i	0.00027013675	0.00081240793	0.03608881	0.91660476	0.046223927
</S>	0.0009528313	0.00014200293	0.0025516737	0.046736643	0.9496169
