 	la	macchina	vuole	riparata	dal	meccanico	</S>
i	0.9994122	0.0005767623	9.256419e-06	1.0348714e-06	1.7598022e-07	4.6587203e-07	1.3407278e-07
m	0.5773312	0.39987397	0.022020321	0.0007480592	1.5594253e-05	8.703563e-06	2.1436772e-06
à	0.8387168	0.14296766	0.013016614	0.0021500387	0.003016069	0.000119286415	1.3554867e-05
k	0.08112815	0.8797761	0.039064016	3.0643616e-05	4.646659e-07	4.2894402e-07	2.6095614e-07
i	0.07886122	0.877535	0.04163704	0.00128691	0.00060896063	3.1011823e-05	4.001053e-05
n	0.10163567	0.31112656	0.5527923	0.028679334	0.0051779444	0.0005301082	5.8037145e-05
a	0.015434766	0.5362012	0.42695087	0.01971701	0.0010036719	0.0006609207	3.165672e-05
t	0.002110038	0.02332464	0.9633416	0.011016152	0.00019328897	1.2658809e-05	1.6412796e-06
è	0.00031738254	0.013843986	0.86481076	0.11943376	0.0015186848	6.875193e-05	6.725547e-06
l	0.00043367146	0.005749489	0.96464133	0.028949315	0.00022454733	1.5382424e-06	1.1629209e-07
i	0.0025550781	0.09787603	0.78937036	0.109515436	0.0005168906	0.00013560822	3.0580206e-05
s	0.122555815	0.053524245	0.2516872	0.5155084	0.0536461	0.002954314	0.00012386941
t	5.5289845e-05	0.00087512366	0.17001693	0.81861067	0.01031158	0.00012913148	1.2690658e-06
i	0.00016632261	0.00020753681	0.10421956	0.53780234	0.35737455	0.00020395714	2.5750813e-05
a	0.0006902447	0.00058488065	0.113326676	0.86130035	0.02400776	8.417768e-05	5.875857e-06
m	0.00046681313	0.00047792544	0.019899797	0.94674474	0.03225943	0.00014665075	4.7931553e-06
m	0.00014368432	0.00014714347	0.09269206	0.84247875	0.05815953	0.004352252	0.0020264622
è	0.000348531	0.0041217026	0.010674568	0.20701481	0.76979464	0.0066674263	0.0013783742
n	0.0017491889	0.008313256	0.05550038	0.8440049	0.043356184	0.046474867	0.0006012315
i	0.02726118	0.06271992	0.08778672	0.5444253	0.16339116	0.053611793	0.06080388
à	0.15669154	0.05071445	0.034026276	0.11788855	0.53281564	0.091959655	0.015903905
t	0.030383317	0.016801855	0.015874207	0.18624583	0.48818088	0.21169521	0.050818674
t	0.00022176097	0.000107061096	0.0023656136	0.19635883	0.26707268	0.52870363	0.005170461
o	0.0020451741	0.000862399	0.001082935	0.02063252	0.7973256	0.16032179	0.017729545
m	0.0015983438	0.00084269745	0.0005991729	0.003995669	0.104117475	0.69279414	0.19605248
e	9.657835e-06	6.4967267e-06	2.6713966e-05	0.001053583	0.06652037	0.9044177	0.027965432
k	2.290316e-05	5.200351e-06	9.051005e-06	0.00017650262	0.0039068456	0.7184542	0.27742526
k	6.72035e-05	7.713478e-05	5.0971405e-05	0.00041045144	0.008859796	0.87983894	0.11069546
à	0.0021380498	0.0051827556	0.00075925037	0.0041951607	0.015816163	0.3269654	0.64494324
n	0.00024358642	0.00017214927	9.0993475e-05	0.00033411974	0.0052374494	0.8962429	0.097678795
i	0.00031789238	0.00044281367	0.00011528615	0.0010201234	0.0013987011	0.857895	0.13881023
k	0.0012444496	0.00037157827	0.00024823085	0.00033084236	0.001551909	0.18021235	0.81604064
o	6.632457e-05	0.00012659286	4.127111e-05	0.00012689614	0.00033474853	0.84103906	0.15826516
</S>	0.0007049871	0.00017347354	0.0001289334	0.00015345281	0.0004267628	0.068117626	0.93029475
