 	vuole	pianto	</S>
e	0.98639894	0.009908754	0.0036922994
t	0.9274546	0.07031648	0.0022288805
è	0.99284744	0.006103033	0.0010494897
l	0.9764082	0.02003384	0.0035579235
i	0.9971269	0.0026338387	0.00023926079
k	0.19290338	0.56959456	0.23750211
l	0.10192113	0.80694145	0.09113744
a	0.09691804	0.14577538	0.7573066
m	0.0022336056	0.4614467	0.53631973
m	0.000610477	0.91798764	0.08140179
è	0.099659115	0.72649145	0.17384937
n	0.008540981	0.66453445	0.32692456
o	0.028294427	0.15383714	0.8178684
</S>	0.0297434	0.011938276	0.95831835
