 	è	pericoloso	di	nuotare	di	notte	</S>
è	0.99779284	0.0021937273	6.9654134e-06	3.3914453e-06	3.3937857e-07	2.3647985e-06	2.0501794e-07
p	0.14093046	0.85170674	0.0045760716	0.002636266	6.714372e-05	8.208088e-05	1.2390025e-06
e	0.13634883	0.8610997	0.0022412862	0.0003016941	2.4436906e-06	5.6969648e-06	2.6984455e-07
r	0.015305402	0.96682346	0.015899716	0.0017603821	0.00010124929	9.8857745e-05	1.0898432e-05
i	0.0007005712	0.971856	0.027273795	0.0001618803	1.5510689e-06	6.208223e-06	2.5912396e-08
k	0.0012566389	0.9671258	0.031275745	0.00031932455	1.1136744e-05	1.0195452e-05	1.180198e-06
o	0.0005055644	0.7130175	0.28189352	0.004355038	5.335184e-05	0.00017336184	1.5578456e-06
l	0.00061083515	0.68901855	0.30694696	0.003379923	2.6742619e-05	1.5676977e-05	1.2435269e-06
ò	0.0001634704	0.412574	0.5667858	0.019918427	0.00028824492	0.0002572665	1.280305e-05
s	0.0004960822	0.3732677	0.56501293	0.061120786	7.8770216e-05	2.351724e-05	2.9848488e-07
o	0.00032228653	0.40468282	0.5780617	0.016830424	6.778991e-05	3.3350578e-05	1.6136108e-06
n	0.028208433	0.055305842	0.49343428	0.40638673	0.007691367	0.008927479	4.576504e-05
a	0.00016370414	0.023291007	0.5528249	0.4172221	0.0038623074	0.0026251057	1.0782692e-05
n	0.0009367806	0.0032412796	0.16878904	0.81643903	0.010057461	0.0005308722	5.4148873e-06
a	0.00019770394	0.0094095925	0.3550696	0.608717	0.021065857	0.0054026186	0.00013764352
r	0.0004972431	0.0010351937	0.036262125	0.89623123	0.06437916	0.0015845813	1.0513271e-05
è	3.1664873e-05	0.0033105242	0.12533277	0.72494066	0.14272614	0.0030486928	0.00060955976
t	5.5809858e-05	0.0011666368	0.008587142	0.76632595	0.21772325	0.006123581	1.7616538e-05
s	7.212328e-05	0.004150719	0.038104128	0.6061343	0.30495325	0.04555103	0.0010344912
i	0.0012321954	0.08737449	0.10646707	0.5453186	0.2071029	0.039901305	0.012603418
à	0.0015584362	0.004201747	0.007863076	0.111288026	0.842813	0.02412398	0.008151683
t	0.001066337	0.0009272788	0.0016714466	0.058694117	0.79552877	0.10593347	0.03617864
s	7.846745e-06	0.00010777844	0.0018936507	0.09198479	0.30062842	0.6026395	0.0027379943
e	0.0002199434	0.0031045387	0.0029104427	0.019620258	0.07758986	0.8224189	0.0741361
n	0.0003506268	0.0008198513	0.00027819118	0.0016244841	0.12920108	0.16542935	0.7022964
ì	6.295814e-06	1.46675375e-05	0.000105349165	0.007761378	0.13753816	0.83994406	0.0146300355
t	5.8000074e-05	0.00023445403	9.712119e-05	0.00036223247	0.014907583	0.92551994	0.058820676
t	4.6930686e-06	1.011365e-05	2.2492104e-05	0.0001872851	0.0053810896	0.9626197	0.031774588
a	6.784855e-05	0.0003016799	0.00012229699	0.00010640922	0.0013697391	0.9016377	0.09639432
</S>	4.3980977e-05	0.000118964694	2.647236e-05	1.3007636e-05	0.00016903244	0.017904282	0.98172426
