 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
f	0.99791664	0.0018300286	0.00014766645	9.3614966e-05	1.3869279e-06	3.943115e-06	5.780432e-06	8.431274e-07
è	0.3398786	0.5398131	0.0040055537	0.00019802028	0.045072865	0.06806729	0.002874468	9.012586e-05
o	0.6747199	0.30312663	0.014928388	0.007107468	7.5302676e-05	1.6575075e-05	2.2177956e-05	3.5583307e-06
p	0.096177004	0.75048393	0.10765072	0.039753724	0.0050477497	0.0005142673	0.00035315997	1.943019e-05
p	0.008867265	0.97078145	0.018509796	1.580148e-05	0.00075405324	0.000785213	0.00027656753	9.871147e-06
ò	0.12982446	0.7627722	0.070491835	0.0043000993	0.01715363	0.009592869	0.0056512067	0.00021365806
r	0.10500408	0.34581706	0.4243133	0.12327889	0.0002780518	0.0011607372	0.00013962114	8.189112e-06
k	0.6154433	0.09799777	0.26242688	0.0056286464	0.0062481915	0.005432293	0.004998844	0.0018241057
e	0.033297054	0.91199285	0.03463197	0.0058540627	0.00742745	0.0021791663	0.0003398328	0.004277556
t	0.030747846	0.120485425	0.42194468	0.30478457	0.06226312	0.05397744	0.0055656396	0.00023130175
e	9.570958e-05	0.529068	0.28688708	0.0030580238	0.15270266	0.027719274	0.0004668142	2.4905708e-06
e	0.0020250625	0.011005466	0.10257919	0.45429578	0.42378536	0.0052112443	0.0010803649	1.754815e-05
t	0.005659404	0.0036408566	0.07398952	0.1309725	0.7703792	0.008906062	0.0064086076	4.390325e-05
r	7.431923e-05	0.028118331	0.03214508	0.03021358	0.68196696	0.21707399	0.008857906	0.00154985
ò	9.03013e-06	0.016494788	0.012640204	0.0018146343	0.41988748	0.5368993	0.011160629	0.0010939519
o	0.0005972879	0.0009801287	0.022261815	0.047860727	0.7903971	0.121700816	0.015738092	0.0004639995
p	0.018002572	0.004677317	0.009168276	0.15933315	0.5108994	0.10744039	0.18826567	0.0022132092
ò	1.186097e-05	0.00067509984	0.0010698794	0.0046614665	0.20077915	0.70360136	0.07740224	0.011798903
s	0.0001229881	0.00011070086	0.00036818045	0.0063798884	0.054859784	0.36601314	0.55913204	0.01301324
s	9.18453e-06	5.1936393e-05	4.5818757e-05	8.065951e-05	0.008377885	0.9558498	0.03476626	0.0008183894
a	6.3893804e-06	2.0917152e-05	3.114354e-06	6.8623003e-06	0.0084120985	0.97055906	0.02043564	0.0005559307
t	0.00098015	0.00020758425	3.489196e-05	0.0005944808	0.0054369937	0.025700217	0.44840637	0.5186393
è	1.9452585e-07	1.3889401e-05	1.1049492e-05	0.00019081042	0.018742524	0.65539885	0.30208367	0.023558933
l	3.7781178e-06	5.339669e-06	1.9990941e-06	7.6695294e-05	0.0008749281	0.045020692	0.9239087	0.030107912
o	1.7693385e-05	4.5294864e-06	4.85855e-06	1.1019094e-05	0.00078580744	0.12413228	0.82232434	0.05271935
</S>	0.00010431737	0.00023996257	1.569945e-05	4.455839e-05	0.000575261	0.0008479879	0.10149068	0.8966815
